variant,seed,mae,rank_correlation,calibration_slope,bounded_feature_audit_pass,forbidden_inputs_absent
V_future_relational_witness_continuous,42,0.537217,-0.867722,-0.593088,True,True
V_future_relational_witness_continuous,123,0.543167,-0.867722,-0.582805,True,True
V_future_relational_witness_continuous,777,0.53852,-0.867722,-0.590802,True,True
V_control_symbolic_single_family_regressor,42,0.39707,1.0,0.334969,,True
V_control_symbolic_single_family_regressor,123,0.39707,1.0,0.334969,,True
V_control_symbolic_single_family_regressor,777,0.39707,1.0,0.334969,,True
V_control_symbolic_two_family_regressor,42,0.398802,1.0,0.334,,True
V_control_symbolic_two_family_regressor,123,0.398802,1.0,0.334,,True
V_control_symbolic_two_family_regressor,777,0.398802,1.0,0.334,,True
V_control_symbolic_boolean_state_lookup,42,0.2,0.0,0.0,,True
V_control_symbolic_boolean_state_lookup,123,0.2,0.0,0.0,,True
V_control_symbolic_boolean_state_lookup,777,0.2,0.0,0.0,,True
