run_id,variant,dataset,seed,backend,accuracy,f1,train_loss_final,eval_loss,qubit_count,gate_count_total,circuit_depth,shot_count,noise_model,wall_time_sec,timestamp_utc,dry_run,run_mode,data_mode
v0-amazon-s123,V0,amazon,123,sim_local,0.625,0.666667,25.65712,26.860493,8,128,8,2048,none,0.005638,2026-03-06T05:29:36Z,False,real,local_jsonl
v0-amazon-s42,V0,amazon,42,sim_local,0.625,0.666667,25.65712,26.860493,8,128,8,2048,none,0.005707,2026-03-06T05:29:36Z,False,real,local_jsonl
v0-amazon-s777,V0,amazon,777,sim_local,0.625,0.666667,25.65712,26.860493,8,128,8,2048,none,0.005601,2026-03-06T05:39:28Z,False,real,local_jsonl
v0-imdb-s123,V0,imdb,123,sim_local,0.5,0.5,30.932852,29.302445,8,128,8,2048,none,0.005679,2026-03-06T05:25:11Z,False,real,local_jsonl
v0-imdb-s42,V0,imdb,42,sim_local,0.5,0.5,30.932852,29.302445,8,128,8,2048,none,0.005846,2026-03-06T05:25:11Z,False,real,local_jsonl
v0-imdb-s777,V0,imdb,777,sim_local,0.5,0.5,30.932852,29.302445,8,128,8,2048,none,0.006387,2026-03-06T05:39:27Z,False,real,local_jsonl
v0-yelp-ibm-s123,V0,yelp,123,ibm_runtime_remote,1.0,0.0,0.526827,0.294808,8,128,8,2048,none,27.921278,2026-03-06T16:49:48Z,False,real,local_jsonl+ibm_runtime_slice12
v0-yelp-ibm-s42,V0,yelp,42,ibm_runtime_remote,0.333333,0.0,0.829427,0.870444,8,128,8,2048,none,28.234749,2026-03-06T15:47:47Z,False,real,local_jsonl+ibm_runtime_slice12
v0-yelp-ibm-s777,V0,yelp,777,ibm_runtime_remote,0.0,0.0,1.157888,1.572487,8,128,8,2048,none,276.356071,2026-03-06T16:54:58Z,False,real,local_jsonl+ibm_runtime_slice12
v0-yelp-local-s42,V0,yelp,42,sim_local,0.375,0.285714,29.447496,28.864168,8,128,8,2048,none,0.012114,2026-03-06T05:19:27Z,False,real,local_jsonl
v0-yelp-quandela-s123,V0,yelp,123,sim_quandela_remote,0.0,0.0,0.668763,0.870937,8,128,8,2048,none,234.504026,2026-03-06T17:25:30Z,False,real,local_jsonl+quandela_remote_slice12
v0-yelp-quandela-s42,V0,yelp,42,sim_quandela_remote,0.333333,0.0,0.641919,0.876826,8,128,8,2048,none,250.702663,2026-03-06T15:47:47Z,False,real,local_jsonl+quandela_remote_slice12
v0-yelp-quandela-s777,V0,yelp,777,sim_quandela_remote,1.0,0.0,0.685227,0.810026,8,128,8,2048,none,251.412705,2026-03-06T16:55:06Z,False,real,local_jsonl+quandela_remote_slice12
v0-yelp-s123,V0,yelp,123,sim_local,0.375,0.285714,29.447496,28.864168,8,128,8,2048,none,0.005843,2026-03-06T05:25:11Z,False,real,local_jsonl
