variant,dataset,runs,mean_accuracy,std_accuracy,ci95_accuracy,mean_f1,std_f1,ci95_f1,mean_gate_count_total,mean_circuit_depth,real_run_count,dry_run_count
V0,amazon,3,0.625,0.0,0.0,0.666667,0.0,0.0,128.0,8.0,3,0
V0,imdb,3,0.5,0.0,0.0,0.5,0.0,0.0,128.0,8.0,3,0
V0,yelp,3,0.375,0.0,0.0,0.285714,0.0,0.0,128.0,8.0,3,0
V1,amazon,3,0.625,0.0,0.0,0.666667,0.0,0.0,160.0,10.0,3,0
V1,imdb,3,0.5,0.0,0.0,0.5,0.0,0.0,160.0,10.0,3,0
V1,yelp,3,0.375,0.0,0.0,0.285714,0.0,0.0,160.0,10.0,3,0
V2,amazon,3,0.625,0.0,0.0,0.666667,0.0,0.0,192.0,12.0,3,0
V2,imdb,3,0.5,0.0,0.0,0.5,0.0,0.0,192.0,12.0,3,0
V2,yelp,3,0.375,0.0,0.0,0.285714,0.0,0.0,192.0,12.0,3,0
V3,amazon,3,0.625,0.0,0.0,0.666667,0.0,0.0,224.0,14.0,3,0
V3,imdb,3,0.5,0.0,0.0,0.5,0.0,0.0,224.0,14.0,3,0
V3,yelp,3,0.375,0.0,0.0,0.285714,0.0,0.0,224.0,14.0,3,0
