variant,seed,mae,rank_correlation,calibration_slope,coarse_channel_advantage_lookup_near_null_pass,within_state_channel_advantage_variation_pass,paired_channel_diversity_pass,channel_advantage_balance_pass,token_view_balance_pass
V_future_relational_witness_transition_orbit_channel_advantage,42,1.6071426177858414e+61,0.6,0.0,True,True,True,True,True
V_future_relational_witness_transition_orbit_channel_advantage,123,0.114681,-0.107143,0.000764,True,True,True,True,True
V_future_relational_witness_transition_orbit_channel_advantage,777,4.306671017305288e+85,-0.142857,0.0,True,True,True,True,True
V_control_symbolic_transition_channel_lookup_regressor,42,0.0267,0.0,0.0,True,True,True,True,True
V_control_symbolic_transition_channel_lookup_regressor,123,0.018118,0.0,0.0,True,True,True,True,True
V_control_symbolic_transition_channel_lookup_regressor,777,0.029465,0.0,0.0,True,True,True,True,True
V_control_symbolic_transition_channel_cross_direction_regressor,42,0.032771,0.371429,1.249249,True,True,True,True,True
V_control_symbolic_transition_channel_cross_direction_regressor,123,0.022842,0.178571,0.214993,True,True,True,True,True
V_control_symbolic_transition_channel_cross_direction_regressor,777,0.035312,-0.257143,-0.505658,True,True,True,True,True
V_control_symbolic_transition_channel_quadratic_regressor,42,0.031587,0.371429,1.318874,True,True,True,True,True
V_control_symbolic_transition_channel_quadratic_regressor,123,0.022634,0.214286,0.363063,True,True,True,True,True
V_control_symbolic_transition_channel_quadratic_regressor,777,0.035073,-0.257143,-0.560932,True,True,True,True,True
V_control_symbolic_transition_channel_orbit_permuted_regressor,42,0.028847,0.428571,1.300899,True,True,True,True,True
V_control_symbolic_transition_channel_orbit_permuted_regressor,123,0.021091,0.285714,0.336065,True,True,True,True,True
V_control_symbolic_transition_channel_orbit_permuted_regressor,777,0.033293,-0.428571,-0.428824,True,True,True,True,True
