"run_id","variant","seed","mae","rank_correlation","latent_slot_invariance_pass","latent_slot_max_abs_delta","coarse_slot_margin_lookup_near_null_pass","within_state_margin_variation_pass"
"transition_orbit_channel_order_margin_invariant-s42","V_future_relational_witness_transition_orbit_channel_order_margin_invariant","42","0.167911","0.047673","True","0","True","True"
"transition_orbit_channel_order_margin_invariant-s123","V_future_relational_witness_transition_orbit_channel_order_margin_invariant","123","0.179416","-0.766149","True","0","True","True"
"transition_orbit_channel_order_margin_invariant-s777","V_future_relational_witness_transition_orbit_channel_order_margin_invariant","777","0.156628","0.522233","True","0","True","True"
"ctrl_transition_channel_order_margin_invariant_lookup-s42","V_control_symbolic_transition_channel_order_margin_invariant_lookup","42","0.188182","0","True","0","True","True"
"ctrl_transition_channel_order_margin_invariant_lookup-s123","V_control_symbolic_transition_channel_order_margin_invariant_lookup","123","0.191818","0","True","0","True","True"
"ctrl_transition_channel_order_margin_invariant_lookup-s777","V_control_symbolic_transition_channel_order_margin_invariant_lookup","777","0.191818","0","True","0","True","True"
"ctrl_transition_channel_order_margin_invariant_cross_direction-s42","V_control_symbolic_transition_channel_order_margin_invariant_cross_direction","42","0.185659","0.111162","True","0","True","True"
"ctrl_transition_channel_order_margin_invariant_cross_direction-s123","V_control_symbolic_transition_channel_order_margin_invariant_cross_direction","123","0.189294","0.365316","True","0","True","True"
"ctrl_transition_channel_order_margin_invariant_cross_direction-s777","V_control_symbolic_transition_channel_order_margin_invariant_cross_direction","777","0.189573","-0.121772","True","0","True","True"
"ctrl_transition_channel_order_margin_invariant_quadratic-s42","V_control_symbolic_transition_channel_order_margin_invariant_quadratic","42","0.187026","0.171796","True","0","True","True"
"ctrl_transition_channel_order_margin_invariant_quadratic-s123","V_control_symbolic_transition_channel_order_margin_invariant_quadratic","123","0.190664","0.365316","True","0","True","True"
"ctrl_transition_channel_order_margin_invariant_quadratic-s777","V_control_symbolic_transition_channel_order_margin_invariant_quadratic","777","0.190699","-0.210334","True","0","True","True"
"ctrl_transition_channel_order_margin_invariant_orbit_permuted-s42","V_control_symbolic_transition_channel_order_margin_invariant_orbit_permuted","42","0.184084","0.171796","True","0","True","True"
"ctrl_transition_channel_order_margin_invariant_orbit_permuted-s123","V_control_symbolic_transition_channel_order_margin_invariant_orbit_permuted","123","0.187721","0.365316","True","0","True","True"
"ctrl_transition_channel_order_margin_invariant_orbit_permuted-s777","V_control_symbolic_transition_channel_order_margin_invariant_orbit_permuted","777","0.189166","-0.033211","True","0","True","True"
