packet_id,provider,source_lane_id,encoding_family,circuit_template,template_file,row_count,shot_count,missing_evidence,ready_for_stage103
ibm_product_seed314_rows16_shots4096__phasewrap,ibm_runtime,ibm_product_seed314_rows16_shots4096,phasewrap,two_ry_product_state_z_readout_v1,ibm_product_seed314_rows16_shots4096__phasewrap.json,16,4096,job_or_task_ids; submitted_at_utc; completed_at_utc; backend_metadata; raw_counts_by_row,False
ibm_product_seed314_rows16_shots4096__rope_like,ibm_runtime,ibm_product_seed314_rows16_shots4096,rope_like,two_ry_product_state_z_readout_v1,ibm_product_seed314_rows16_shots4096__rope_like.json,16,4096,job_or_task_ids; submitted_at_utc; completed_at_utc; backend_metadata; raw_counts_by_row,False
ibm_product_seed314_rows16_shots4096__sinusoidal_like,ibm_runtime,ibm_product_seed314_rows16_shots4096,sinusoidal_like,two_ry_product_state_z_readout_v1,ibm_product_seed314_rows16_shots4096__sinusoidal_like.json,16,4096,job_or_task_ids; submitted_at_utc; completed_at_utc; backend_metadata; raw_counts_by_row,False
ibm_product_seed314_rows16_shots4096__alibi_like,ibm_runtime,ibm_product_seed314_rows16_shots4096,alibi_like,two_ry_product_state_z_readout_v1,ibm_product_seed314_rows16_shots4096__alibi_like.json,16,4096,job_or_task_ids; submitted_at_utc; completed_at_utc; backend_metadata; raw_counts_by_row,False
ibm_product_seed314_rows16_shots4096__no_position_control,ibm_runtime,ibm_product_seed314_rows16_shots4096,no_position_control,two_ry_product_state_z_readout_v1,ibm_product_seed314_rows16_shots4096__no_position_control.json,16,4096,job_or_task_ids; submitted_at_utc; completed_at_utc; backend_metadata; raw_counts_by_row,False
braket_product_seed2718_rows8_shots1000__phasewrap,amazon_braket,braket_product_seed2718_rows8_shots1000,phasewrap,two_ry_product_state_z_readout_v1,braket_product_seed2718_rows8_shots1000__phasewrap.json,8,1000,job_or_task_ids; submitted_at_utc; completed_at_utc; backend_metadata; raw_counts_by_row,False
braket_product_seed2718_rows8_shots1000__rope_like,amazon_braket,braket_product_seed2718_rows8_shots1000,rope_like,two_ry_product_state_z_readout_v1,braket_product_seed2718_rows8_shots1000__rope_like.json,8,1000,job_or_task_ids; submitted_at_utc; completed_at_utc; backend_metadata; raw_counts_by_row,False
braket_product_seed2718_rows8_shots1000__sinusoidal_like,amazon_braket,braket_product_seed2718_rows8_shots1000,sinusoidal_like,two_ry_product_state_z_readout_v1,braket_product_seed2718_rows8_shots1000__sinusoidal_like.json,8,1000,job_or_task_ids; submitted_at_utc; completed_at_utc; backend_metadata; raw_counts_by_row,False
braket_product_seed2718_rows8_shots1000__alibi_like,amazon_braket,braket_product_seed2718_rows8_shots1000,alibi_like,two_ry_product_state_z_readout_v1,braket_product_seed2718_rows8_shots1000__alibi_like.json,8,1000,job_or_task_ids; submitted_at_utc; completed_at_utc; backend_metadata; raw_counts_by_row,False
braket_product_seed2718_rows8_shots1000__no_position_control,amazon_braket,braket_product_seed2718_rows8_shots1000,no_position_control,two_ry_product_state_z_readout_v1,braket_product_seed2718_rows8_shots1000__no_position_control.json,8,1000,job_or_task_ids; submitted_at_utc; completed_at_utc; backend_metadata; raw_counts_by_row,False
ibm_cx_seed314_rows16_shots4096__phasewrap,ibm_runtime,ibm_cx_seed314_rows16_shots4096,phasewrap,two_ry_cx_parity_z_readout_v1,ibm_cx_seed314_rows16_shots4096__phasewrap.json,16,4096,job_or_task_ids; submitted_at_utc; completed_at_utc; backend_metadata; raw_counts_by_row,False
