task,seed,method,epochs,train_row_count,validation_loss,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,final_training_loss
phase_cued_retrieval,307,no_position,45,8,4.564348,4.564337,95.998894,0.0,0.031001,0.010417,4.564283
phase_cued_retrieval,307,sinusoidal,45,8,4.564348,4.564337,95.998887,0.0,0.031021,0.010417,4.564283
phase_cued_retrieval,307,alibi,45,8,4.564348,4.564337,95.998895,0.0,0.031001,0.010417,4.564283
phase_cued_retrieval,307,rope,45,8,4.564348,4.564337,95.998894,0.0,0.031001,0.010417,4.564283
phase_cued_retrieval,307,phasewrap_bias,45,8,4.564348,4.564337,95.99891,0.0,0.030867,0.010417,4.564283
phase_cued_retrieval,307,phasewrap_adapter,45,8,4.564348,4.564337,95.998911,0.0,0.030867,0.010417,4.564283
phase_cued_retrieval,311,no_position,45,8,4.564408,4.564323,95.997566,0.0,0.043953,0.010417,4.564345
phase_cued_retrieval,311,sinusoidal,45,8,4.564408,4.564323,95.997564,0.0,0.044005,0.010417,4.564345
phase_cued_retrieval,311,alibi,45,8,4.564409,4.564323,95.997568,0.0,0.043953,0.010417,4.564345
phase_cued_retrieval,311,rope,45,8,4.564409,4.564323,95.997567,0.0,0.043953,0.010417,4.564345
phase_cued_retrieval,311,phasewrap_bias,45,8,4.564408,4.564323,95.997574,0.0,0.043953,0.010417,4.564345
phase_cued_retrieval,311,phasewrap_adapter,45,8,4.564408,4.564323,95.997574,0.0,0.043953,0.010417,4.564345
phase_cued_retrieval,313,no_position,45,8,4.564366,4.564356,96.000716,0.0,0.022319,0.010417,4.564321
phase_cued_retrieval,313,sinusoidal,45,8,4.564366,4.564356,96.000746,0.0,0.022198,0.010417,4.564321
phase_cued_retrieval,313,alibi,45,8,4.564366,4.564356,96.00071,0.0,0.022359,0.010417,4.564321
phase_cued_retrieval,313,rope,45,8,4.564366,4.564356,96.000714,0.0,0.022282,0.010417,4.564321
phase_cued_retrieval,313,phasewrap_bias,45,8,4.564364,4.564355,96.000695,0.0,0.022641,0.010417,4.564322
phase_cued_retrieval,313,phasewrap_adapter,45,8,4.564364,4.564355,96.000695,0.0,0.022588,0.010417,4.564322
phase_cued_retrieval,317,no_position,45,8,4.564349,4.56435,96.000162,0.125,0.146118,0.010417,4.56432
phase_cued_retrieval,317,sinusoidal,45,8,4.564347,4.564349,96.000121,0.125,0.145924,0.010417,4.56432
phase_cued_retrieval,317,alibi,45,8,4.564347,4.56435,96.00019,0.125,0.146648,0.010417,4.564318
phase_cued_retrieval,317,rope,45,8,4.564348,4.56435,96.00017,0.125,0.146118,0.010417,4.56432
phase_cued_retrieval,317,phasewrap_bias,45,8,4.564349,4.564351,96.000277,0.125,0.146565,0.010417,4.564314
