period_pair,gcd,fundamental_period,context_length,unique_score_count,mean_alias_class_size,max_alias_class_size,positive_residue_count,score_range,one_step_thresholds
"[4, 8]",4,8,1024,5,204.8,256,3,2.414213562374,"[1.570796326795, 0.785398163397]"
"[5, 10]",5,10,1024,6,170.666667,205,5,2.5,"[1.256637061436, 0.628318530718]"
"[6, 12]",6,12,1024,7,146.285714,171,7,2.299038105676,"[1.047197551197, 0.523598775598]"
"[8, 16]",8,16,1024,9,113.777778,128,11,2.41125033391,"[0.785398163397, 0.392699081699]"
"[8, 12]",4,24,1024,10,102.4,257,13,2.849589320278,"[0.785398163397, 0.523598775598]"
"[8, 24]",8,24,1024,12,85.333333,171,16,3.785405043172,"[0.785398163397, 0.261799387799]"
"[12, 24]",12,24,1024,12,85.333333,171,19,2.384704462327,"[0.523598775598, 0.261799387799]"
"[16, 32]",16,32,1024,17,60.235294,96,27,2.374577111219,"[0.392699081699, 0.196349540849]"
"[9, 15]",3,45,1024,16,64.0,274,25,3.629734020928,"[0.698131700798, 0.418879020479]"
"[7, 11]",1,77,1024,17,60.235294,320,33,3.423163047737,"[0.897597901026, 0.571198664289]"
"[10, 16]",2,80,1024,23,44.521739,180,47,3.710055845716,"[0.628318530718, 0.392699081699]"
