row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_value_probability,target_value_probability_ci_low,target_value_probability_ci_high,mean_first_relevant_value_rank,method,task
20,5.579394,264.910932,0.05,0.0,0.15,0.05919,0.006654,0.159788,0.003915,0.003516,0.004634,149.1,no_position,passkey_exact
20,5.503431,245.532999,0.0,0.0,0.0,0.027893,0.013136,0.045677,0.004133,0.003802,0.004484,96.05,no_position,multi_needle
20,4.899244,134.18832,0.0,0.0,0.0,0.019648,0.011659,0.028691,0.00749,0.007207,0.007824,104.75,no_position,aggregation
20,5.5794,264.912705,0.05,0.0,0.15,0.058213,0.006854,0.158622,0.003915,0.003492,0.004612,146.85,alibi,passkey_exact
20,5.50341,245.527813,0.0,0.0,0.0,0.026684,0.012983,0.045754,0.004133,0.003846,0.004457,100.05,alibi,multi_needle
20,4.899118,134.171361,0.0,0.0,0.0,0.022262,0.013776,0.033855,0.007491,0.007178,0.007828,90.0,alibi,aggregation
20,5.579275,264.879527,0.05,0.0,0.15,0.058308,0.007126,0.158577,0.003915,0.003493,0.004582,139.95,rope_relative,passkey_exact
20,5.503502,245.550284,0.0,0.0,0.0,0.023606,0.01292,0.038725,0.004133,0.003812,0.004474,97.55,rope_relative,multi_needle
20,4.899226,134.18594,0.0,0.0,0.0,0.023747,0.011548,0.040919,0.00749,0.007161,0.007837,100.6,rope_relative,aggregation
20,5.579553,264.953214,0.05,0.0,0.2,0.057213,0.006488,0.156969,0.003914,0.003496,0.004564,146.15,sinusoidal,passkey_exact
20,5.503582,245.56999,0.0,0.0,0.0,0.020654,0.012173,0.031468,0.004132,0.003848,0.004457,92.6,sinusoidal,multi_needle
20,4.899228,134.186103,0.0,0.0,0.0,0.020243,0.012118,0.029967,0.00749,0.007169,0.007858,93.85,sinusoidal,aggregation
20,5.579331,264.894353,0.05,0.0,0.15,0.058546,0.007182,0.158911,0.003915,0.003489,0.004587,139.6,phasewrap_score,passkey_exact
20,5.50346,245.540134,0.0,0.0,0.0,0.024399,0.012637,0.039271,0.004133,0.003817,0.004478,99.5,phasewrap_score,multi_needle
20,4.899149,134.175507,0.0,0.0,0.0,0.020065,0.011708,0.03109,0.00749,0.007175,0.00782,91.1,phasewrap_score,aggregation
20,5.579393,264.910862,0.05,0.0,0.15,0.058377,0.00699,0.158804,0.003915,0.003492,0.004606,137.35,phasewrap_residual_adapter,passkey_exact
20,5.503512,245.552719,0.0,0.0,0.0,0.02598,0.012065,0.042419,0.004133,0.003806,0.004427,99.1,phasewrap_residual_adapter,multi_needle
20,4.89918,134.179705,0.0,0.0,0.0,0.021119,0.012732,0.030126,0.00749,0.007175,0.007842,95.95,phasewrap_residual_adapter,aggregation
20,5.579348,264.898882,0.05,0.0,0.15,0.057939,0.006933,0.157709,0.003915,0.003495,0.004587,142.15,phasewrap_distance_adapter,passkey_exact
20,5.503485,245.546149,0.0,0.0,0.0,0.02832,0.012943,0.051156,0.004133,0.003821,0.004492,100.75,phasewrap_distance_adapter,multi_needle
20,4.899185,134.180425,0.0,0.0,0.0,0.020792,0.012411,0.031809,0.00749,0.007133,0.007815,93.05,phasewrap_distance_adapter,aggregation
