row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_probability_mass,target_probability_mass_ci_low,target_probability_mass_ci_high,mean_first_relevant_rank,method,split
120,2.990879,19.903174,0.025,0.0,0.058333,0.110214,0.082119,0.143807,0.055546,0.050536,0.06,17.291667,no_position,train
60,3.323466,27.75639,0.066667,0.0,0.133333,0.1413,0.084917,0.207952,0.037879,0.034722,0.04112,19.333333,no_position,validation
60,3.323466,27.75639,0.05,0.0,0.1,0.112677,0.067836,0.164508,0.037879,0.034722,0.04112,20.7,no_position,test
120,2.880839,17.829218,0.0,0.0,0.0,0.184048,0.163881,0.205051,0.062604,0.057243,0.067568,9.358333,alibi,train
60,3.371817,29.131417,0.0,0.0,0.0,0.144946,0.11233,0.17766,0.037846,0.034141,0.04209,15.8,alibi,validation
60,3.297689,27.050049,0.0,0.0,0.0,0.153361,0.120209,0.18795,0.040537,0.037005,0.044662,14.083333,alibi,test
120,0.246598,1.279665,1.0,1.0,1.0,1.0,1.0,1.0,0.788416,0.770675,0.804598,1.0,rope_relative,train
60,0.146402,1.157661,1.0,1.0,1.0,1.0,1.0,1.0,0.869689,0.845004,0.890987,1.0,rope_relative,validation
60,0.098988,1.104053,1.0,1.0,1.0,1.0,1.0,1.0,0.91044,0.888664,0.93052,1.0,rope_relative,test
120,0.578743,1.783794,0.775,0.7,0.841667,0.884722,0.847222,0.923611,0.587653,0.557244,0.619276,1.241667,sinusoidal,train
60,0.803062,2.232365,0.766667,0.65,0.866667,0.868056,0.808333,0.925,0.46746,0.434072,0.5002,1.333333,sinusoidal,validation
60,0.80297,2.23216,0.716667,0.6,0.833333,0.852778,0.788889,0.908333,0.467265,0.435884,0.501044,1.316667,sinusoidal,test
120,2.774281,16.027098,0.0,0.0,0.0,0.116452,0.099919,0.134001,0.070201,0.064269,0.076583,11.975,phasewrap_score,train
60,3.158105,23.525981,0.016667,0.0,0.066667,0.098086,0.066104,0.143553,0.044449,0.040861,0.048408,16.033333,phasewrap_score,validation
60,3.104785,22.304426,0.0,0.0,0.0,0.082042,0.066805,0.107405,0.047273,0.04311,0.051426,15.566667,phasewrap_score,test
120,0.951791,2.590344,0.558333,0.466667,0.633333,0.736528,0.67625,0.791806,0.426953,0.390145,0.45898,1.791667,phasewrap_residual_adapter,train
60,1.252798,3.500123,0.483333,0.366667,0.616667,0.701389,0.634722,0.784722,0.301675,0.272875,0.32803,1.816667,phasewrap_residual_adapter,validation
60,1.08024,2.945385,0.566667,0.433333,0.683333,0.759722,0.690278,0.830556,0.358606,0.328168,0.388451,1.583333,phasewrap_residual_adapter,test
120,0.462976,1.588795,1.0,1.0,1.0,1.0,1.0,1.0,0.651731,0.62516,0.679532,1.0,phasewrap_distance_adapter,train
60,0.652392,1.920128,1.0,1.0,1.0,1.0,1.0,1.0,0.540103,0.501225,0.57505,1.0,phasewrap_distance_adapter,validation
60,0.534312,1.706274,1.0,1.0,1.0,1.0,1.0,1.0,0.600201,0.568632,0.631176,1.0,phasewrap_distance_adapter,test
