row_count,loss,perplexity,top1_accuracy,mrr,mean_target_probability,mean_first_relevant_rank,method,model_seed
20,1.146747,3.147936,0.0,0.325,0.319224,3.1,no_position,2701
20,1.146964,3.148618,0.0,0.325,0.319154,3.1,no_position,2711
20,1.146383,3.146791,0.0,0.325,0.319341,3.1,no_position,2729
20,1.146165,3.146104,0.0,0.325,0.319411,3.1,no_position,2731
20,1.146942,3.148551,0.0,0.325,0.319161,3.1,no_position,2741
20,0.238686,1.26958,0.95,0.975,0.822351,1.05,alibi,2701
20,0.238782,1.269702,0.95,0.975,0.822007,1.05,alibi,2711
20,0.239048,1.270039,0.95,0.975,0.821106,1.05,alibi,2729
20,0.238482,1.269321,0.95,0.975,0.822695,1.05,alibi,2731
20,0.239913,1.271139,0.95,0.975,0.82127,1.05,alibi,2741
20,3.274356,26.42621,0.35,0.555417,0.31248,2.75,rope_relative,2701
20,3.206392,24.689832,0.3,0.534722,0.322006,2.8,rope_relative,2711
20,2.923312,18.602794,0.3,0.562083,0.320989,2.55,rope_relative,2729
20,3.282144,26.632805,0.3,0.506806,0.306718,3.15,rope_relative,2731
20,3.133331,22.950293,0.35,0.547879,0.319622,3.1,rope_relative,2741
20,0.436283,1.546947,0.8,0.9,0.708516,1.2,sinusoidal,2701
20,0.424897,1.529432,0.85,0.925,0.719204,1.15,sinusoidal,2711
20,0.408016,1.503832,0.8,0.9,0.721634,1.2,sinusoidal,2729
20,0.410487,1.507551,0.75,0.875,0.709782,1.25,sinusoidal,2731
20,0.385991,1.471071,0.85,0.925,0.735941,1.15,sinusoidal,2741
20,1.123449,3.075444,0.3,0.608333,0.328748,1.95,phasewrap_score,2701
20,1.126721,3.085523,0.3,0.616667,0.327594,1.9,phasewrap_score,2711
20,1.121148,3.068374,0.3,0.608333,0.329646,1.95,phasewrap_score,2729
20,1.121914,3.070724,0.3,0.608333,0.329371,1.95,phasewrap_score,2731
20,1.123024,3.074136,0.3,0.608333,0.328894,1.95,phasewrap_score,2741
20,0.258437,1.294904,0.95,0.975,0.802058,1.05,phasewrap_residual_adapter,2701
20,0.293132,1.34062,0.9,0.95,0.799218,1.1,phasewrap_residual_adapter,2711
20,0.275344,1.316983,0.9,0.95,0.80845,1.1,phasewrap_residual_adapter,2729
20,0.264455,1.302721,0.95,0.975,0.799755,1.05,phasewrap_residual_adapter,2731
20,0.293298,1.340843,0.9,0.95,0.796333,1.1,phasewrap_residual_adapter,2741
20,0.242573,1.274524,0.95,0.975,0.821666,1.05,phasewrap_distance_adapter,2701
20,0.239522,1.270642,0.95,0.975,0.824931,1.05,phasewrap_distance_adapter,2711
20,0.230891,1.259722,0.95,0.975,0.827779,1.05,phasewrap_distance_adapter,2729
20,0.232878,1.262227,0.95,0.975,0.827609,1.05,phasewrap_distance_adapter,2731
20,0.259353,1.296091,0.95,0.975,0.813044,1.05,phasewrap_distance_adapter,2741
