row_count,loss,perplexity,top1_accuracy,mrr,mean_target_probability,target_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_rank,method,model_seed
60,3.309296,27.365842,0.0,0.153196,0.038115,0.961885,0.030946,0.030946,13.9,no_position,3001
60,3.312167,27.444525,0.0,0.153196,0.038064,0.961936,0.030433,0.030433,13.9,no_position,3011
60,3.311108,27.415497,0.0,0.153196,0.038083,0.961917,0.03062,0.03062,13.9,no_position,3019
60,3.316896,27.574631,0.0,0.153196,0.037983,0.962017,0.029637,0.029637,13.9,no_position,3023
60,3.311325,27.421435,0.0,0.153196,0.038079,0.961921,0.03058,0.03058,13.9,no_position,3037
60,3.291323,26.878412,0.0,0.153196,0.038499,0.961501,0.03492,0.03492,13.9,alibi,3001
60,3.290319,26.851432,0.0,0.153196,0.038525,0.961475,0.035199,0.035199,13.9,alibi,3011
60,3.291385,26.880059,0.0,0.153196,0.038497,0.961503,0.034904,0.034904,13.9,alibi,3019
60,3.292363,26.90637,0.0,0.153196,0.038472,0.961528,0.034641,0.034641,13.9,alibi,3023
60,3.292374,26.90667,0.0,0.153196,0.038472,0.961528,0.034638,0.034638,13.9,alibi,3037
60,0.332241,1.394089,1.0,1.0,0.718574,0.281426,0.714166,0.285834,1.0,rope_relative,3001
60,0.29058,1.337203,1.0,1.0,0.749505,0.250495,0.744756,0.255244,1.0,rope_relative,3011
60,0.292854,1.340247,1.0,1.0,0.74824,0.25176,0.743311,0.256689,1.0,rope_relative,3019
60,0.292692,1.34003,1.0,1.0,0.747985,0.252015,0.743297,0.256703,1.0,rope_relative,3023
60,0.282014,1.325797,1.0,1.0,0.756087,0.243913,0.751207,0.248793,1.0,rope_relative,3037
60,0.729126,2.073268,0.816667,0.904167,0.502715,0.497285,0.512374,0.310794,1.216667,sinusoidal,3001
60,0.728669,2.07232,0.816667,0.904167,0.502997,0.497003,0.512989,0.307133,1.216667,sinusoidal,3011
60,0.726684,2.068211,0.816667,0.904167,0.504142,0.495858,0.514413,0.305831,1.216667,sinusoidal,3019
60,0.738724,2.093263,0.816667,0.904167,0.497209,0.502791,0.503794,0.31515,1.216667,sinusoidal,3023
60,0.73136,2.077904,0.816667,0.904167,0.501337,0.498663,0.509882,0.309768,1.216667,sinusoidal,3037
60,1.063401,2.896204,0.616667,0.793056,0.369965,0.630035,0.413118,0.220501,1.483333,phasewrap_bias,3001
60,1.06378,2.897302,0.616667,0.793056,0.369336,0.630664,0.411338,0.205329,1.483333,phasewrap_bias,3011
60,1.077175,2.936372,0.616667,0.793056,0.364135,0.635865,0.405531,0.21346,1.483333,phasewrap_bias,3019
60,1.059193,2.884043,0.616667,0.793056,0.371819,0.628181,0.415446,0.218461,1.483333,phasewrap_bias,3023
60,1.056878,2.877375,0.616667,0.793056,0.372652,0.627348,0.416349,0.217665,1.483333,phasewrap_bias,3037
60,1.068904,2.912187,0.616667,0.793056,0.367649,0.632351,0.409954,0.206713,1.483333,phasewrap_residual_adapter,3001
60,1.051395,2.86164,0.616667,0.793056,0.374728,0.625272,0.418115,0.215372,1.483333,phasewrap_residual_adapter,3011
60,1.052347,2.864367,0.616667,0.793056,0.374413,0.625587,0.418029,0.215707,1.483333,phasewrap_residual_adapter,3019
60,1.07386,2.926654,0.616667,0.793056,0.36548,0.63452,0.406984,0.209683,1.483333,phasewrap_residual_adapter,3023
60,1.065025,2.900913,0.616667,0.793056,0.369317,0.630683,0.412282,0.204384,1.483333,phasewrap_residual_adapter,3037
60,0.603217,1.82799,1.0,1.0,0.556493,0.443507,0.544848,0.455152,1.0,phasewrap_distance_adapter,3001
60,0.586191,1.79713,1.0,1.0,0.567499,0.432501,0.557071,0.442929,1.0,phasewrap_distance_adapter,3011
60,0.612944,1.845857,1.0,1.0,0.552008,0.447992,0.540595,0.459405,1.0,phasewrap_distance_adapter,3019
60,0.572495,1.772685,1.0,1.0,0.576008,0.423992,0.566655,0.433345,1.0,phasewrap_distance_adapter,3023
60,0.583456,1.792222,1.0,1.0,0.568796,0.431204,0.557729,0.442271,1.0,phasewrap_distance_adapter,3037
