row_count,loss,perplexity,top1_accuracy,mrr,mean_target_probability,target_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_rank,method,model_seed,task
20,3.500557,33.133897,0.0,0.06895,0.0302,0.9698,0.032801,0.032801,17.45,no_position,3001,passkey_exact
20,3.515548,33.634339,0.0,0.333333,0.029732,0.970268,0.029938,0.029938,3.0,no_position,3001,multi_needle
20,2.911782,18.389546,0.0,0.057303,0.054413,0.945587,0.0301,0.0301,21.25,no_position,3001,aggregation
20,3.499487,33.098469,0.0,0.06895,0.030225,0.969775,0.03225,0.03225,17.45,no_position,3011,passkey_exact
20,3.530059,34.125964,0.0,0.333333,0.029304,0.970696,0.029462,0.029462,3.0,no_position,3011,multi_needle
20,2.906955,18.300978,0.0,0.057303,0.054663,0.945337,0.029587,0.029587,21.25,no_position,3011,aggregation
20,3.499881,33.111513,0.0,0.06895,0.030216,0.969784,0.03245,0.03245,17.45,no_position,3019,passkey_exact
20,3.52475,33.945285,0.0,0.333333,0.02946,0.97054,0.029636,0.029636,3.0,no_position,3019,multi_needle
20,2.908694,18.332846,0.0,0.057303,0.054573,0.945427,0.029774,0.029774,21.25,no_position,3019,aggregation
20,3.498007,33.04953,0.0,0.06895,0.030262,0.969738,0.031395,0.031395,17.45,no_position,3023,passkey_exact
20,3.553093,34.921148,0.0,0.333333,0.028636,0.971364,0.028723,0.028723,3.0,no_position,3023,multi_needle
20,2.899589,18.16667,0.0,0.057303,0.055053,0.944947,0.028793,0.028793,21.25,no_position,3023,aggregation
20,3.499772,33.107905,0.0,0.06895,0.030218,0.969782,0.032408,0.032408,17.45,no_position,3037,passkey_exact
20,3.525857,33.98289,0.0,0.333333,0.029427,0.970573,0.029599,0.029599,3.0,no_position,3037,multi_needle
20,2.908346,18.326459,0.0,0.057303,0.054591,0.945409,0.029735,0.029735,21.25,no_position,3037,aggregation
20,3.512099,33.518557,0.0,0.06895,0.029963,0.970037,0.037075,0.037075,17.45,alibi,3001,passkey_exact
20,3.411197,30.30148,0.0,0.333333,0.033009,0.966991,0.033611,0.033611,3.0,alibi,3001,multi_needle
20,2.950675,19.118847,0.0,0.057303,0.052524,0.947476,0.034074,0.034074,21.25,alibi,3001,aggregation
20,3.513062,33.55083,0.0,0.06895,0.029945,0.970055,0.037375,0.037375,17.45,alibi,3011,passkey_exact
20,3.404335,30.094288,0.0,0.333333,0.033237,0.966763,0.033867,0.033867,3.0,alibi,3011,multi_needle
20,2.95356,19.174101,0.0,0.057303,0.052392,0.947608,0.034354,0.034354,21.25,alibi,3011,aggregation
20,3.511988,33.514831,0.0,0.06895,0.029966,0.970034,0.037058,0.037058,17.45,alibi,3019,passkey_exact
20,3.411556,30.31238,0.0,0.333333,0.032997,0.967003,0.033595,0.033595,3.0,alibi,3019,multi_needle
20,2.95061,19.117609,0.0,0.057303,0.052528,0.947472,0.034059,0.034059,21.25,alibi,3019,aggregation
20,3.511122,33.485816,0.0,0.06895,0.029982,0.970018,0.036775,0.036775,17.45,alibi,3023,passkey_exact
20,3.418099,30.511371,0.0,0.333333,0.032781,0.967219,0.033353,0.033353,3.0,alibi,3023,multi_needle
20,2.947868,19.065258,0.0,0.057303,0.052654,0.947346,0.033795,0.033795,21.25,alibi,3023,aggregation
20,3.51111,33.485406,0.0,0.06895,0.029982,0.970018,0.036771,0.036771,17.45,alibi,3037,passkey_exact
20,3.418193,30.514213,0.0,0.333333,0.032778,0.967222,0.03335,0.03335,3.0,alibi,3037,multi_needle
20,2.94782,19.064355,0.0,0.057303,0.052656,0.947344,0.033792,0.033792,21.25,alibi,3037,aggregation
20,0.341498,1.407053,1.0,1.0,0.711985,0.288015,0.711985,0.288015,1.0,rope_relative,3001,passkey_exact
20,0.301964,1.352512,1.0,1.0,0.740319,0.259681,0.740319,0.259681,1.0,rope_relative,3001,multi_needle
20,0.353262,1.423705,1.0,1.0,0.703418,0.296582,0.690195,0.309805,1.0,rope_relative,3001,aggregation
20,0.302055,1.352636,1.0,1.0,0.741056,0.258944,0.741056,0.258944,1.0,rope_relative,3011,passkey_exact
20,0.260699,1.297837,1.0,1.0,0.771779,0.228221,0.771779,0.228221,1.0,rope_relative,3011,multi_needle
20,0.308985,1.362042,1.0,1.0,0.73568,0.26432,0.721431,0.278569,1.0,rope_relative,3011,aggregation
20,0.314397,1.369433,1.0,1.0,0.732203,0.267797,0.732203,0.267797,1.0,rope_relative,3019,passkey_exact
20,0.234249,1.26396,1.0,1.0,0.7921,0.2079,0.7921,0.2079,1.0,rope_relative,3019,multi_needle
20,0.329915,1.39085,1.0,1.0,0.720418,0.279582,0.70563,0.29437,1.0,rope_relative,3019,aggregation
20,0.300063,1.349944,1.0,1.0,0.74262,0.25738,0.74262,0.25738,1.0,rope_relative,3023,passkey_exact
20,0.274131,1.315387,1.0,1.0,0.761697,0.238303,0.761697,0.238303,1.0,rope_relative,3023,multi_needle
20,0.303883,1.355111,1.0,1.0,0.739639,0.260361,0.725573,0.274427,1.0,rope_relative,3023,aggregation
20,0.298104,1.347302,1.0,1.0,0.744062,0.255938,0.744062,0.255938,1.0,rope_relative,3037,passkey_exact
20,0.240365,1.271713,1.0,1.0,0.7875,0.2125,0.7875,0.2125,1.0,rope_relative,3037,multi_needle
20,0.307572,1.360119,1.0,1.0,0.736698,0.263302,0.722058,0.277942,1.0,rope_relative,3037,aggregation
20,0.692088,1.997883,0.85,0.925,0.519798,0.480202,0.524816,0.325184,1.15,sinusoidal,3001,passkey_exact
20,0.654049,1.923312,1.0,1.0,0.531737,0.468263,0.531737,0.468263,1.0,sinusoidal,3001,multi_needle
20,0.841241,2.319244,0.6,0.7875,0.45661,0.54339,0.480568,0.308255,1.5,sinusoidal,3001,aggregation
20,0.692198,1.998103,0.85,0.925,0.519642,0.480358,0.524813,0.325187,1.15,sinusoidal,3011,passkey_exact
