row_count,loss,perplexity,top1_accuracy,mrr,mean_target_probability,target_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_rank,method,model_seed,task
20,3.515792,33.642553,0.05,0.122659,0.029724,0.970276,0.029724,0.020276,16.55,no_position,3101,passkey_exact
20,3.601157,36.640606,0.0,0.029412,0.027292,0.972708,0.027292,0.027292,34.0,no_position,3101,multi_needle
20,2.90801,18.320303,0.1,0.202034,0.054584,0.945416,0.027292,0.072708,12.5,no_position,3101,aggregation
20,3.515825,33.643689,0.05,0.122659,0.029723,0.970277,0.029723,0.020277,16.55,no_position,3119,passkey_exact
20,3.601188,36.641738,0.0,0.029412,0.027291,0.972709,0.027291,0.027291,34.0,no_position,3119,multi_needle
20,2.908041,18.320869,0.1,0.202034,0.054583,0.945417,0.027291,0.072709,12.5,no_position,3119,aggregation
20,3.515885,33.645689,0.05,0.122659,0.029721,0.970279,0.029721,0.020279,16.55,no_position,3121,passkey_exact
20,3.601242,36.643732,0.0,0.029412,0.02729,0.97271,0.02729,0.02729,34.0,no_position,3121,multi_needle
20,2.908095,18.321866,0.1,0.202034,0.05458,0.94542,0.02729,0.07271,12.5,no_position,3121,aggregation
20,3.515869,33.645143,0.05,0.122659,0.029722,0.970278,0.029722,0.020278,16.55,no_position,3137,passkey_exact
20,3.601228,36.643188,0.0,0.029412,0.02729,0.97271,0.02729,0.02729,34.0,no_position,3137,multi_needle
20,2.90808,18.321594,0.1,0.202034,0.05458,0.94542,0.02729,0.07271,12.5,no_position,3137,aggregation
20,3.515902,33.646252,0.05,0.122659,0.029721,0.970279,0.029721,0.020279,16.55,no_position,3163,passkey_exact
20,3.601258,36.644293,0.0,0.029412,0.027289,0.972711,0.027289,0.027289,34.0,no_position,3163,multi_needle
20,2.908111,18.322147,0.1,0.202034,0.054579,0.945421,0.027289,0.072711,12.5,no_position,3163,aggregation
20,3.533372,34.239244,0.0,0.06895,0.029365,0.970635,0.037104,0.037104,17.45,alibi,3101,passkey_exact
20,3.411414,30.30806,0.0,0.333333,0.033003,0.966997,0.033658,0.033658,3.0,alibi,3101,multi_needle
20,2.975949,19.608223,0.0,0.057303,0.051274,0.948726,0.034167,0.034167,21.25,alibi,3101,aggregation
20,3.533382,34.239555,0.0,0.06895,0.029365,0.970635,0.037105,0.037105,17.45,alibi,3119,passkey_exact
20,3.411395,30.307493,0.0,0.333333,0.033004,0.966996,0.033659,0.033659,3.0,alibi,3119,multi_needle
20,2.975964,19.608522,0.0,0.057303,0.051274,0.948726,0.034167,0.034167,21.25,alibi,3119,aggregation
20,3.533385,34.239662,0.0,0.06895,0.029365,0.970635,0.037103,0.037103,17.45,alibi,3121,passkey_exact
20,3.411424,30.308386,0.0,0.333333,0.033003,0.966997,0.033658,0.033658,3.0,alibi,3121,multi_needle
20,2.97596,19.608444,0.0,0.057303,0.051274,0.948726,0.034166,0.034166,21.25,alibi,3121,aggregation
20,3.533422,34.240955,0.0,0.06895,0.029364,0.970636,0.037097,0.037097,17.45,alibi,3137,passkey_exact
20,3.411574,30.312905,0.0,0.333333,0.032998,0.967002,0.033653,0.033653,3.0,alibi,3137,multi_needle
20,2.975966,19.608546,0.0,0.057303,0.051273,0.948727,0.03416,0.03416,21.25,alibi,3137,aggregation
20,3.533401,34.240236,0.0,0.06895,0.029364,0.970636,0.0371,0.0371,17.45,alibi,3163,passkey_exact
20,3.411497,30.310575,0.0,0.333333,0.033,0.967,0.033655,0.033655,3.0,alibi,3163,multi_needle
20,2.975961,19.608459,0.0,0.057303,0.051274,0.948726,0.034163,0.034163,21.25,alibi,3163,aggregation
20,0.207511,1.230611,1.0,1.0,0.817121,0.182879,0.817121,0.182879,1.0,rope_relative,3101,passkey_exact
20,0.210555,1.234363,1.0,1.0,0.814148,0.185852,0.814148,0.185852,1.0,rope_relative,3101,multi_needle
