task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,45,0.03,full_batch_adam,2,1,2,0.229737,-0.00894,0.213342,1.237808,1.0,1.0,0.80814,0.80814,0.19186,10.41506,33358.237134,0.0,0.009901,3e-05,0.515211,0.515211,10.133296,25167.173409,0.0,0.042767,4e-05,0.550059,0.550059
phase_cued_retrieval,307,sinusoidal,sinusoidal,45,0.03,full_batch_adam,2,1,2,0.233414,0.435758,0.217204,1.242597,1.0,1.0,0.805004,0.805004,0.194996,10.39494,32693.791318,0.0,0.010101,3.1e-05,0.509388,0.509388,10.139542,25324.867544,0.0,0.042767,4e-05,0.545106,0.545106
phase_cued_retrieval,307,alibi,alibi,45,0.03,full_batch_adam,2,1,2,0.222911,1.031517,0.205613,1.228278,1.0,1.0,0.814412,0.814412,0.185588,10.466988,35136.21559,0.0,0.009901,2.8e-05,0.537525,0.537525,10.150975,25616.072765,0.0,0.040684,3.9e-05,0.538852,0.538852
phase_cued_retrieval,307,rope_relative,rope,45,0.03,full_batch_adam,2,1,2,0.229641,0.823456,0.213375,1.237849,1.0,1.0,0.808127,0.808127,0.191873,10.422132,33594.975993,0.0,0.009901,3e-05,0.519757,0.519757,10.165335,25986.563052,0.0,0.041054,3.8e-05,0.530959,0.530959
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,45,0.03,full_batch_adam,2,1,2,0.180388,1.350155,0.149548,1.161309,1.0,1.0,0.861114,0.861114,0.138886,10.335898,30819.364306,0.0,0.008929,3.2e-05,0.672287,0.672287,9.077385,8755.04163,0.0,0.040936,0.000117,0.532911,0.532911
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,45,0.03,full_batch_adam,2,1,2,0.183487,1.334144,0.151541,1.163626,1.0,1.0,0.859393,0.859393,0.140607,10.392287,32607.156078,0.0,0.008929,3.1e-05,0.673043,0.673043,9.163143,9538.988658,0.0,0.040936,0.000109,0.537187,0.537187
exact_offset_passkey,307,no_position,no_position,45,0.03,full_batch_adam,2,1,2,0.694394,-0.00894,0.694229,2.002164,0.5,0.75,0.499551,0.50913,0.00913,11.853402,140561.756615,0.0,0.016667,7e-06,0.50913,0.50913,11.902971,147704.797633,0.0,0.011834,7e-06,0.50913,0.50913
exact_offset_passkey,307,sinusoidal,sinusoidal,45,0.03,full_batch_adam,2,1,2,0.694395,0.568327,0.694229,2.002166,0.5,0.75,0.499551,0.509142,0.009142,11.852984,140503.028219,0.0,0.016667,7e-06,0.509142,0.509142,11.902539,147641.001946,0.0,0.011834,7e-06,0.509142,0.509142
exact_offset_passkey,307,alibi,alibi,45,0.03,full_batch_adam,2,1,2,0.694394,-0.464538,0.694229,2.002165,0.5,0.75,0.499551,0.509126,0.009126,11.852959,140499.408476,0.0,0.016667,7e-06,0.509126,0.509126,11.902512,147637.075287,0.0,0.011834,7e-06,0.509126,0.509126
exact_offset_passkey,307,rope_relative,rope,45,0.03,full_batch_adam,2,1,2,0.694394,0.50745,0.694228,2.002163,0.5,0.75,0.499552,0.509126,0.009126,11.853639,140595.049551,0.0,0.016667,7e-06,0.509126,0.509126,11.903221,147741.768992,0.0,0.011834,7e-06,0.509126,0.509126
