task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,train_mean_target_attention_mean,train_mean_target_attention_ci_low,train_mean_target_attention_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,validation_mean_target_attention_mean,validation_mean_target_attention_ci_low,validation_mean_target_attention_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,test_mean_target_attention_mean,test_mean_target_attention_ci_low,test_mean_target_attention_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high
phase_cued_retrieval,no_position,1,0,-0.00894,0.377586,0.377586,0.377586,1.458759,1.458759,1.458759,0.75,0.75,0.75,0.875,0.875,0.875,0.724884,0.724884,0.724884,0.725612,0.725612,0.725612,0.024388,0.024388,0.024388,0.624994,0.624994,0.624994,10.258589,10.258589,10.258589,28526.494382,28526.494382,28526.494382,0.0,0.0,0.0,0.018835,0.018835,0.018835,3.7e-05,3.7e-05,3.7e-05,0.846957,0.846957,0.846957,0.846957,0.846957,0.846957,0.010262,0.010262,0.010262,11.436301,11.436301,11.436301,92623.762691,92623.762691,92623.762691,0.0,0.0,0.0,0.066314,0.066314,0.066314,2.3e-05,2.3e-05,2.3e-05,0.729071,0.729071,0.729071,0.729071,0.729071,0.729071,0.013921,0.013921,0.013921,0.690667,0.690667,0.690667
phase_cued_retrieval,sinusoidal,1,0,1.190237,0.383472,0.383472,0.383472,1.467371,1.467371,1.467371,0.75,0.75,0.75,0.875,0.875,0.875,0.718274,0.718274,0.718274,0.727047,0.727047,0.727047,0.033069,0.033069,0.033069,0.714429,0.714429,0.714429,10.665519,10.665519,10.665519,42852.477563,42852.477563,42852.477563,0.0,0.0,0.0,0.01835,0.01835,0.01835,2.5e-05,2.5e-05,2.5e-05,0.707845,0.707845,0.707845,0.707845,0.707845,0.707845,0.037531,0.037531,0.037531,11.408774,11.408774,11.408774,90108.87841,90108.87841,90108.87841,0.0,0.0,0.0,0.05128,0.05128,0.05128,1.4e-05,1.4e-05,1.4e-05,0.746745,0.746745,0.746745,0.746745,0.746745,0.746745,0.024161,0.024161,0.024161,0.606266,0.606266,0.606266
phase_cued_retrieval,alibi,1,0,1.004112,0.376602,0.376602,0.376602,1.457324,1.457324,1.457324,0.75,0.75,0.75,0.875,0.875,0.875,0.725493,0.725493,0.725493,0.726002,0.726002,0.726002,0.023998,0.023998,0.023998,0.629379,0.629379,0.629379,10.49976,10.49976,10.49976,36306.776265,36306.776265,36306.776265,0.0,0.0,0.0,0.01996,0.01996,0.01996,2.9e-05,2.9e-05,2.9e-05,0.764702,0.764702,0.764702,0.764702,0.764702,0.764702,0.011033,0.011033,0.011033,11.668586,11.668586,11.668586,116843.003561,116843.003561,116843.003561,0.0,0.0,0.0,0.055342,0.055342,0.055342,1.7e-05,1.7e-05,1.7e-05,0.739011,0.739011,0.739011,0.739011,0.739011,0.739011,0.009762,0.009762,0.009762,0.685164,0.685164,0.685164
phase_cued_retrieval,rope_relative,1,0,1.183186,0.382073,0.382073,0.382073,1.465319,1.465319,1.465319,0.75,0.75,0.75,0.875,0.875,0.875,0.721567,0.721567,0.721567,0.746311,0.746311,0.746311,0.045771,0.045771,0.045771,0.582363,0.582363,0.582363,10.298978,10.298978,10.298978,29702.253862,29702.253862,29702.253862,0.0,0.0,0.0,0.019676,0.019676,0.019676,3.8e-05,3.8e-05,3.8e-05,0.817613,0.817613,0.817613,0.817613,0.817613,0.817613,0.011146,0.011146,0.011146,10.793238,10.793238,10.793238,48690.445161,48690.445161,48690.445161,0.0,0.0,0.0,0.076501,0.076501,0.076501,2.6e-05,2.6e-05,2.6e-05,0.657095,0.657095,0.657095,0.657095,0.657095,0.657095,0.01269,0.01269,0.01269,0.796928,0.796928,0.796928
phase_cued_retrieval,phasewrap_bias,1,0,-1.395535,0.158723,0.158723,0.158723,1.172013,1.172013,1.172013,1.0,1.0,1.0,1.0,1.0,1.0,0.859184,0.859184,0.859184,0.859184,0.859184,0.859184,0.140816,0.140816,0.140816,0.710797,0.710797,0.710797,10.330071,10.330071,10.330071,30640.282951,30640.282951,30640.282951,0.0,0.0,0.0,0.019259,0.019259,0.019259,3.5e-05,3.5e-05,3.5e-05,0.831984,0.831984,0.831984,0.831984,0.831984,0.831984,0.014198,0.014198,0.014198,11.107967,11.107967,11.107967,66700.41998,66700.41998,66700.41998,0.0,0.0,0.0,0.068298,0.068298,0.068298,2.2e-05,2.2e-05,2.2e-05,0.708659,0.708659,0.708659,0.708659,0.708659,0.708659,0.022905,0.022905,0.022905,0.411664,0.411664,0.411664
phase_cued_retrieval,phasewrap_adapter,1,0,-1.423989,0.181659,0.181659,0.181659,1.199205,1.199205,1.199205,1.0,1.0,1.0,1.0,1.0,1.0,0.841405,0.841405,0.841405,0.841405,0.841405,0.841405,0.158595,0.158595,0.158595,0.706657,0.706657,0.706657,10.305957,10.305957,10.305957,29910.253165,29910.253165,29910.253165,0.0,0.0,0.0,0.019259,0.019259,0.019259,3.6e-05,3.6e-05,3.6e-05,0.841415,0.841415,0.841415,0.841415,0.841415,0.841415,0.013372,0.013372,0.013372,10.979451,10.979451,10.979451,58656.315405,58656.315405,58656.315405,0.0,0.0,0.0,0.074091,0.074091,0.074091,2.3e-05,2.3e-05,2.3e-05,0.696351,0.696351,0.696351,0.696351,0.696351,0.696351,0.025349,0.025349,0.025349,0.415305,0.415305,0.415305
exact_offset_passkey,no_position,1,0,-0.00894,0.025844,0.025844,0.025844,1.026181,1.026181,1.026181,1.0,1.0,1.0,1.0,1.0,1.0,0.974488,0.974488,0.974488,0.974488,0.974488,0.974488,0.025512,0.025512,0.025512,0.999995,0.999995,0.999995,9.171137,9.171137,9.171137,9615.553807,9615.553807,9615.553807,0.0,0.0,0.0,0.008451,0.008451,0.008451,0.00011,0.00011,0.00011,0.571552,0.571552,0.571552,0.571552,0.571552,0.571552,0.024189,0.024189,0.024189,9.829085,9.829085,9.829085,18565.958789,18565.958789,18565.958789,0.0,0.0,0.0,0.015851,0.015851,0.015851,6.4e-05,6.4e-05,6.4e-05,0.671363,0.671363,0.671363,0.671363,0.671363,0.671363,0.027955,0.027955,0.027955,0.027053,0.027053,0.027053
exact_offset_passkey,sinusoidal,1,0,0.862167,0.025053,0.025053,0.025053,1.025369,1.025369,1.025369,1.0,1.0,1.0,1.0,1.0,1.0,0.975259,0.975259,0.975259,0.975259,0.975259,0.975259,0.024741,0.024741,0.024741,0.999997,0.999997,0.999997,10.08846,10.08846,10.08846,24063.697103,24063.697103,24063.697103,0.0,0.0,0.0,0.008523,0.008523,0.008523,5.7e-05,5.7e-05,5.7e-05,0.604174,0.604174,0.604174,0.604174,0.604174,0.604174,0.050137,0.050137,0.050137,10.865972,10.865972,10.865972,52363.887674,52363.887674,52363.887674,0.0,0.0,0.0,0.020506,0.020506,0.020506,2.2e-05,2.2e-05,2.2e-05,0.652538,0.652538,0.652538,0.652538,0.652538,0.652538,0.051135,0.051135,0.051135,0.02614,0.02614,0.02614
exact_offset_passkey,alibi,1,0,0.894877,0.025861,0.025861,0.025861,1.026198,1.026198,1.026198,1.0,1.0,1.0,1.0,1.0,1.0,0.974472,0.974472,0.974472,0.974472,0.974472,0.974472,0.025528,0.025528,0.025528,0.999981,0.999981,0.999981,8.300454,8.300454,8.300454,4025.699112,4025.699112,4025.699112,0.0,0.0,0.0,0.008302,0.008302,0.008302,0.000255,0.000255,0.000255,0.460311,0.460311,0.460311,0.460311,0.460311,0.460311,0.023116,0.023116,0.023116,9.087236,9.087236,9.087236,8841.712342,8841.712342,8841.712342,0.0,0.0,0.0,0.015823,0.015823,0.015823,0.000129,0.000129,0.000129,0.85331,0.85331,0.85331,0.85331,0.85331,0.85331,0.014298,0.014298,0.014298,0.02709,0.02709,0.02709
exact_offset_passkey,rope_relative,1,0,0.890524,0.026076,0.026076,0.026076,1.026419,1.026419,1.026419,1.0,1.0,1.0,1.0,1.0,1.0,0.974261,0.974261,0.974261,0.974261,0.974261,0.974261,0.025739,0.025739,0.025739,0.999993,0.999993,0.999993,8.935693,8.935693,8.935693,7598.400195,7598.400195,7598.400195,0.0,0.0,0.0,0.008413,0.008413,0.008413,0.000133,0.000133,0.000133,0.528171,0.528171,0.528171,0.528171,0.528171,0.528171,0.030626,0.030626,0.030626,9.621896,9.621896,9.621896,15091.642846,15091.642846,15091.642846,0.0,0.0,0.0,0.015916,0.015916,0.015916,7.5e-05,7.5e-05,7.5e-05,0.677793,0.677793,0.677793,0.677793,0.677793,0.677793,0.036882,0.036882,0.036882,0.027305,0.027305,0.027305
