task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high,learned_copy_gate_mean,train_mean_copy_gate_mean,validation_mean_copy_gate_mean,test_mean_copy_gate_mean
phase_cued_retrieval,no_position,5,0,1.0,0.148116,0.028789,0.28134,1.172331,1.029106,1.333575,0.966667,0.933334,1.0,0.983333,0.966666,1.0,0.910634,0.838407,0.970232,0.93852,0.896545,0.970975,0.035874,0.017495,0.061653,14.720187,13.261903,16.17847,13367607.46526,811652.185728,36706952.598679,0.0,0.0,0.0,0.023138,0.016309,0.031013,6.8e-05,1.4e-05,0.000151,0.910281,0.888657,0.928623,0.910281,0.885529,0.933974,14.37538,12.829787,16.572987,12874697.470008,627859.343662,36172928.421493,0.0,0.0,0.0,0.019367,0.016471,0.02213,6.6e-05,3.5e-05,9.8e-05,0.882278,0.856081,0.907425,0.882278,0.856058,0.909571,0.148589,0.029374,0.266898,0.945065,0.945065,0.945065,0.945065
phase_cued_retrieval,sinusoidal,5,0,2.164559,0.072548,0.024848,0.119055,1.077015,1.026149,1.127644,1.0,1.0,1.0,1.0,1.0,1.0,0.933518,0.892013,0.974787,0.933518,0.891867,0.974206,0.066482,0.024978,0.108714,13.270612,11.598302,15.496692,6994447.944538,138632.763729,20237515.168242,0.0,0.0,0.0,0.043522,0.036163,0.049897,0.000186,7.1e-05,0.000298,0.895914,0.871789,0.924752,0.895914,0.872148,0.925976,13.35629,12.015457,15.284742,7668555.789103,156578.801479,22372147.758801,0.0,0.0,0.0,0.043393,0.037115,0.049671,0.00441,3.2e-05,0.012771,0.836908,0.747393,0.902274,0.836908,0.750142,0.902274,0.073376,0.025611,0.122515,0.961677,0.961677,0.961677,0.961677
phase_cued_retrieval,alibi,5,0,1.09013,0.095235,0.024927,0.226838,1.110441,1.025242,1.272656,0.983333,0.95,1.0,0.991667,0.975,1.0,0.93613,0.863251,0.975273,0.950053,0.905229,0.975049,0.03916,0.024727,0.061404,14.785734,13.077233,16.501403,13978314.501117,660957.759977,32882616.03094,0.0,0.0,0.0,0.023392,0.01627,0.031767,2.8e-05,3e-06,7.1e-05,0.902322,0.865558,0.940301,0.902322,0.863673,0.942186,13.986317,12.501463,16.059679,11577959.773763,314025.811414,32985613.75611,0.0,0.0,0.0,0.03228,0.021665,0.046665,0.000237,8.2e-05,0.000453,0.862704,0.830899,0.894509,0.862704,0.821932,0.894509,0.095745,0.025296,0.228095,0.953001,0.953001,0.953001,0.953001
phase_cued_retrieval,rope_relative,5,0,2.18886,0.08826,0.026697,0.209,1.100751,1.027058,1.24572,0.983333,0.95,1.0,0.991667,0.975,1.0,0.94127,0.87858,0.973774,0.955298,0.920668,0.97377,0.034917,0.026226,0.049949,15.112689,13.552305,17.083663,30190174.556599,919252.305449,86040940.466491,0.0,0.0,0.0,0.022397,0.017054,0.028009,3.6e-05,5e-06,7.2e-05,0.883919,0.82962,0.93653,0.883919,0.840118,0.926709,14.936223,13.608552,16.941309,29488066.852288,844165.903956,85674280.32781,0.016667,0.0,0.05,0.050243,0.019923,0.080562,0.012986,8e-06,0.025964,0.876507,0.825378,0.913981,0.878738,0.826015,0.917486,0.088645,0.027129,0.209215,0.954547,0.954547,0.954547,0.954547
phase_cued_retrieval,phasewrap_bias,5,0,0.115276,0.162239,0.029974,0.294504,1.191331,1.030474,1.355547,0.966667,0.933334,1.0,0.983333,0.966666,1.0,0.899139,0.828012,0.972234,0.92697,0.886379,0.970617,0.051251,0.027766,0.072723,12.854135,11.408442,14.67837,1467879.899517,100767.246155,3395534.782511,0.0,0.0,0.0,0.034162,0.026721,0.040823,0.000244,8.4e-05,0.000479,0.854266,0.824246,0.890033,0.854266,0.821372,0.888751,13.389909,11.656192,15.123627,2465667.943649,197526.768523,5002921.707012,0.016667,0.0,0.05,0.045868,0.017097,0.08132,0.016225,0.000112,0.0378,0.880723,0.851896,0.909152,0.864056,0.810238,0.909152,0.165829,0.032769,0.29889,0.947122,0.947122,0.947122,0.947122
phase_cued_retrieval,phasewrap_adapter,5,0,0.123962,0.170863,0.061519,0.300357,1.197239,1.064498,1.359051,0.966667,0.933334,1.0,0.983333,0.966666,1.0,0.891131,0.831551,0.948122,0.918953,0.886441,0.951466,0.056813,0.02594,0.086025,13.103412,11.088599,14.949183,2099780.162118,366144.235438,3944493.373922,0.0,0.0,0.0,0.038195,0.025509,0.056207,0.000136,9.2e-05,0.000181,0.881143,0.834085,0.912152,0.881143,0.833541,0.911245,13.072307,10.948683,14.846325,2243970.13038,210834.165781,4249206.712063,0.016667,0.0,0.05,0.054612,0.028217,0.083318,0.013032,0.00015,0.025889,0.836106,0.790513,0.875503,0.838325,0.79377,0.877722,0.177979,0.06589,0.290067,0.946898,0.946898,0.946898,0.946898
exact_offset_passkey,no_position,5,0,1.0,0.167394,0.081669,0.254265,1.188352,1.094532,1.289111,0.95,0.916667,0.983333,0.975,0.958333,0.991667,0.896926,0.865532,0.939383,0.925271,0.903036,0.945859,0.031226,0.010302,0.057147,13.182667,11.25037,15.530148,4339052.71878,110195.059661,9865102.639773,0.0,0.0,0.0,0.03775,0.019186,0.067595,0.006728,6e-06,0.020065,0.828287,0.733607,0.903767,0.828287,0.741032,0.902382,12.725166,10.172619,14.936892,3225427.580247,72437.473921,7225143.997544,0.016667,0.0,0.05,0.05745,0.030901,0.087796,0.023429,0.000859,0.054343,0.826077,0.742409,0.903777,0.80941,0.706758,0.905759,0.167716,0.066514,0.254397,0.946382,0.946382,0.946382,0.946382
exact_offset_passkey,sinusoidal,5,0,1.935578,0.049779,0.03324,0.07592,1.051427,1.03257,1.078229,1.0,1.0,1.0,1.0,1.0,1.0,0.952762,0.929103,0.96754,0.952762,0.928038,0.967447,0.047238,0.031488,0.072055,11.021747,8.485869,14.236913,3452291.176053,5862.509359,10115036.841998,0.1,0.0,0.233333,0.133971,0.048671,0.22756,0.052984,0.000186,0.105781,0.848012,0.796707,0.897769,0.836005,0.783541,0.892147,11.767858,9.095355,14.707378,8060552.043698,25563.782753,23889771.03842,0.033333,0.0,0.066666,0.071827,0.035104,0.110388,0.034004,0.004053,0.063964,0.849712,0.797849,0.880529,0.816378,0.743656,0.872484,0.050533,0.034567,0.076796,0.961263,0.961263,0.961263,0.961263
exact_offset_passkey,alibi,5,0,0.541903,0.087292,0.028954,0.171705,1.095923,1.02842,1.194908,0.983333,0.95,1.0,0.991667,0.975,1.0,0.941062,0.899336,0.971564,0.954859,0.9369,0.971564,0.035888,0.022829,0.054414,12.249215,9.286952,14.566091,1748691.701429,281798.933519,3355953.738959,0.033333,0.0,0.1,0.058824,0.018459,0.128311,0.014274,8e-06,0.042774,0.833711,0.704898,0.930716,0.838799,0.720162,0.922311,11.60075,9.059055,13.970161,2320914.319672,17827.00561,6680228.768525,0.016667,0.0,0.05,0.071583,0.03545,0.115895,0.019083,0.001538,0.041404,0.873177,0.844647,0.90044,0.868138,0.829141,0.904067,0.087755,0.029558,0.173156,0.954083,0.954083,0.954083,0.954083
exact_offset_passkey,rope_relative,5,0,2.153174,0.093987,0.041613,0.164111,1.101752,1.041565,1.185028,1.0,1.0,1.0,1.0,1.0,1.0,0.920808,0.867491,0.961547,0.920808,0.859958,0.961547,0.079192,0.038453,0.122711,10.239269,7.392013,13.195332,1385481.119864,4137.415283,4041525.028533,0.033333,0.0,0.1,0.083953,0.034221,0.147772,0.032827,2.7e-05,0.080362,0.819787,0.722696,0.904544,0.786453,0.645745,0.901027,10.704121,8.393438,13.014804,1309847.867198,4153.851253,3802115.545892,0.05,0.0,0.1,0.083431,0.03789,0.150582,0.033904,0.002901,0.079605,0.775799,0.646017,0.865731,0.728634,0.555016,0.848268,0.094726,0.041341,0.164986,0.962226,0.962226,0.962226,0.962226
