task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,auxiliary_task,base_train_row_count,auxiliary_train_row_count,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate
phase_cued_retrieval,307,no_position,no_position,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.189282,1.0,0.939533,0.309911,1.363304,0.916667,0.944444,0.852001,0.914771,0.118263,0.939533,10.27023,28860.534695,0.0,0.03655,0.003415,0.506382,0.506382,0.939533,11.295633,80469.450111,0.0,0.05966,0.008997,0.689344,0.689344,0.939533
phase_cued_retrieval,307,sinusoidal,sinusoidal,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.029612,2.455912,0.964685,0.024608,1.024914,1.0,1.0,0.975831,0.975831,0.024169,0.964685,12.43809,252228.423814,0.0,0.03438,0.000773,0.784369,0.784369,0.964685,16.124311,10062350.896033,0.0,0.018655,1.6e-05,0.759346,0.759346,0.964685
phase_cued_retrieval,307,alibi,alibi,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.268575,2.105472,0.932408,0.438288,1.550051,0.916667,0.958333,0.758823,0.830476,0.183354,0.932408,9.015364,8228.542538,0.0,0.052122,0.012486,0.410531,0.410531,0.932408,10.146309,25496.818665,0.0,0.038431,0.001715,0.558714,0.558714,0.932408
phase_cued_retrieval,307,rope_relative,rope,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.211526,2.911199,0.95731,0.352287,1.422316,1.0,1.0,0.753854,0.753854,0.246146,0.95731,13.041708,461255.912352,0.0,0.042632,0.000261,0.658532,0.658532,0.95731,14.390296,1776749.459241,0.0,0.021671,0.00194,0.53952,0.53952,0.95731
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.257961,-0.136831,0.903412,0.372019,1.450661,0.916667,0.944444,0.774881,0.823415,0.206056,0.903412,11.022097,61211.934535,0.0,0.026567,0.000654,0.706742,0.706742,0.903412,11.584856,107458.020588,0.0,0.037146,0.003232,0.639872,0.639872,0.903412
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.176105,-0.120117,0.936909,0.284082,1.328542,0.916667,0.944444,0.870028,0.904403,0.0915,0.936909,12.377801,237471.140641,0.0,0.058347,0.002114,0.860648,0.860648,0.936909,14.962173,3147668.404043,0.0,0.022207,3.9e-05,0.827152,0.827152,0.936909
phase_cued_retrieval,311,no_position,no_position,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.393565,1.0,0.943391,0.721918,2.058377,0.75,0.861111,0.685105,0.789382,0.131586,0.943391,16.82224,20221152.187916,0.0,0.033936,0.003864,0.732802,0.732802,0.943391,16.94234,22801571.132123,0.0,0.053886,0.000669,0.868137,0.868137,0.943391
phase_cued_retrieval,311,sinusoidal,sinusoidal,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.038301,2.442328,0.964857,0.039976,1.040786,1.0,1.0,0.960916,0.960916,0.039084,0.964857,14.067299,1286324.413005,0.0,0.053931,3.2e-05,0.713667,0.713667,0.964857,12.072498,174992.387472,0.083333,0.13289,0.05795,0.874321,0.843533,0.964857
phase_cued_retrieval,311,alibi,alibi,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.308547,1.278308,0.913157,0.523722,1.6883,0.833333,0.891667,0.745901,0.825817,0.123098,0.913157,12.596181,295428.143236,0.0,0.018005,0.001468,0.729656,0.729656,0.913157,10.417115,33426.866926,0.083333,0.155697,0.078153,0.842969,0.759636,0.913157
phase_cued_retrieval,311,rope_relative,rope,80,0.03,full_batch_adam,content_key_retrieval,12,12,24,6,12,0.030675,2.468787,0.965207,0.027135,1.027507,1.0,1.0,0.973302,0.973302,0.026698,0.965207,9.902753,19985.321279,0.0,0.046831,0.00287,0.837806,0.837806,0.965207,11.108556,66739.718204,0.0,0.069978,0.002157,0.901557,0.901557,0.965207
