task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high,learned_copy_gate_mean,train_mean_copy_gate_mean,validation_mean_copy_gate_mean,test_mean_copy_gate_mean
phase_cued_retrieval,no_position,5,0,1.0,0.537572,0.324491,0.784052,1.787847,1.349356,2.226338,0.766667,0.65,0.883334,0.869444,0.794444,0.930555,0.727569,0.623118,0.818355,0.79573,0.712976,0.864615,0.130056,0.092894,0.163848,12.645059,11.228536,14.884123,4152931.821458,97070.715828,12189708.980716,0.0,0.0,0.0,0.043471,0.024354,0.062251,0.002255,0.000806,0.003477,0.741121,0.61721,0.865033,0.741121,0.59695,0.865033,12.82631,10.522894,15.006918,4984644.499887,55126.121338,14078071.40063,0.0,0.0,0.0,0.057401,0.040499,0.072085,0.011571,0.002303,0.025343,0.754226,0.677257,0.827232,0.754226,0.670418,0.831398,0.301156,0.172439,0.421434,0.948285,0.948285,0.948285,0.948285
phase_cued_retrieval,sinusoidal,5,0,2.513375,0.095398,0.03349,0.155599,1.103417,1.037293,1.187474,1.0,1.0,1.0,1.0,1.0,1.0,0.915007,0.851913,0.964339,0.915007,0.848747,0.962627,0.084993,0.033118,0.134324,12.330986,10.845996,13.562244,483788.189624,135269.808368,832306.570879,0.033333,0.0,0.1,0.109119,0.061221,0.149454,0.02486,0.000773,0.062756,0.789809,0.739669,0.871323,0.783193,0.731459,0.864348,13.105248,12.105874,14.650208,2209589.661536,189645.678643,6169152.674914,0.016667,0.0,0.05,0.060842,0.031939,0.097582,0.01298,0.000372,0.035952,0.834253,0.791359,0.872412,0.828095,0.787075,0.863124,0.069467,0.035272,0.115555,0.965214,0.965214,0.965214,0.965214
phase_cued_retrieval,alibi,5,0,1.006497,0.524226,0.215761,0.791123,1.812395,1.360075,2.462688,0.816667,0.683333,0.933333,0.884583,0.790972,0.961667,0.727861,0.567076,0.875837,0.795329,0.685905,0.871349,0.152975,0.085388,0.208512,12.650347,10.719443,14.558392,1495494.57267,119087.90728,2930867.647032,0.0,0.0,0.0,0.030938,0.019832,0.041913,0.002931,0.000141,0.007628,0.671195,0.538181,0.77323,0.671195,0.53285,0.77323,11.884357,10.486063,13.424567,825203.212336,38203.963227,2264169.946885,0.016667,0.0,0.05,0.062441,0.025746,0.113828,0.018338,0.001821,0.048366,0.749422,0.657974,0.827266,0.732756,0.631985,0.805478,0.299765,0.126059,0.438358,0.941664,0.941664,0.941664,0.941664
phase_cued_retrieval,rope_relative,5,0,2.626627,0.342895,0.133212,0.585916,1.470413,1.151957,1.910824,0.916667,0.833333,1.0,0.958333,0.908333,1.0,0.794226,0.688298,0.914041,0.814249,0.727496,0.914041,0.159671,0.078087,0.245158,13.198898,11.330831,15.557957,7333950.215949,152280.460375,21097685.904122,0.0,0.0,0.0,0.041572,0.023356,0.057375,0.001429,0.000135,0.002912,0.776787,0.703358,0.844961,0.776787,0.7122,0.846778,13.590372,11.639416,16.04778,12524819.109434,149088.972887,36600669.423866,0.0,0.0,0.0,0.037098,0.022843,0.054669,0.001155,0.000353,0.001871,0.75447,0.636476,0.853698,0.75447,0.637296,0.847095,0.195147,0.084087,0.354249,0.960035,0.960035,0.960035,0.960035
phase_cued_retrieval,phasewrap_bias,5,0,0.015948,0.680611,0.406057,1.055142,2.140034,1.499284,3.115744,0.75,0.616667,0.866667,0.845555,0.750555,0.913889,0.686771,0.547875,0.774171,0.793009,0.711568,0.861949,0.171735,0.131362,0.210811,11.631474,10.550092,12.749825,260843.17036,42385.65349,604335.578192,0.0,0.0,0.0,0.031747,0.023584,0.040857,0.000234,6e-05,0.000464,0.734352,0.677453,0.805954,0.734352,0.677453,0.801013,11.051617,9.7637,12.348354,133054.931988,30916.647154,236139.514056,0.016667,0.0,0.05,0.05543,0.030127,0.089136,0.007599,0.000792,0.019959,0.71995,0.664531,0.78722,0.724195,0.671387,0.794758,0.407153,0.257756,0.631625,0.917578,0.917578,0.917578,0.917578
phase_cued_retrieval,phasewrap_adapter,5,0,0.046728,0.615978,0.367557,1.009274,2.027486,1.455293,3.024928,0.75,0.6,0.866667,0.847222,0.761111,0.919444,0.714981,0.545201,0.829365,0.805231,0.715478,0.877595,0.164864,0.119061,0.223773,11.564832,10.93104,12.198624,136185.471476,63817.115722,212565.181605,0.0,0.0,0.0,0.039934,0.030452,0.050613,0.000513,3.8e-05,0.001301,0.797647,0.724203,0.874038,0.797647,0.728642,0.870422,11.593448,10.124858,13.219039,687060.41079,33964.511105,1923451.925783,0.0,0.0,0.0,0.039657,0.025011,0.058153,0.006556,0.000103,0.018657,0.768104,0.713016,0.823226,0.768104,0.713049,0.823226,0.367958,0.219028,0.599204,0.926982,0.926982,0.926982,0.926982
exact_offset_passkey,no_position,5,0,1.0,0.413627,0.279501,0.54909,1.533873,1.331033,1.748942,0.783333,0.683333,0.883334,0.877778,0.813889,0.941666,0.766685,0.674462,0.852426,0.805243,0.718837,0.891649,0.122701,0.076766,0.16463,13.041805,11.048413,15.088217,2206421.068248,215140.884465,4197701.252032,0.0,0.0,0.0,0.045233,0.024798,0.069583,0.000446,4e-06,0.001084,0.843806,0.762602,0.910228,0.843806,0.762602,0.910228,12.79251,9.611181,15.144618,3167067.330467,583278.623046,6682168.491234,0.0,0.0,0.0,0.036271,0.024689,0.053917,0.002403,1e-05,0.007176,0.749969,0.582243,0.877898,0.749969,0.553166,0.885886,0.244573,0.176477,0.325079,0.960404,0.960404,0.960404,0.960404
exact_offset_passkey,sinusoidal,5,0,2.332566,0.184277,0.133324,0.237072,1.204485,1.132908,1.253024,0.966667,0.933334,1.0,0.983333,0.966666,1.0,0.864651,0.829935,0.902825,0.871563,0.832884,0.905614,0.130439,0.100237,0.157112,12.559921,10.581918,14.663435,3901245.328324,53434.675664,11260771.221983,0.0,0.0,0.0,0.061246,0.042103,0.081764,0.007209,0.000126,0.018013,0.800598,0.687613,0.912475,0.800598,0.702032,0.904084,13.395639,11.016377,15.985482,11039599.199237,156325.228117,31728624.330514,0.033333,0.0,0.1,0.069034,0.033929,0.134763,0.011981,0.000131,0.034234,0.792735,0.68825,0.88726,0.791357,0.690774,0.880602,0.134168,0.09632,0.166846,0.965238,0.965238,0.965238,0.965238
exact_offset_passkey,alibi,5,0,0.429718,0.415404,0.267831,0.55836,1.536694,1.319276,1.798305,0.833333,0.766667,0.9,0.905555,0.866667,0.941666,0.767112,0.679469,0.853698,0.804845,0.71624,0.896757,0.150136,0.085694,0.225375,13.93992,12.516495,15.377061,3062571.788459,602629.601168,5942668.895116,0.0,0.0,0.0,0.047278,0.023559,0.07158,0.003396,2e-06,0.008791,0.813475,0.706358,0.900387,0.813475,0.713058,0.893581,13.23718,10.695437,15.594821,3718857.334721,826872.964291,7515154.250755,0.0,0.0,0.0,0.040969,0.027555,0.064851,0.002074,1e-05,0.005804,0.738421,0.583398,0.858166,0.738421,0.551722,0.872961,0.2459,0.176131,0.322395,0.958961,0.958961,0.958961,0.958961
exact_offset_passkey,rope_relative,5,0,2.363898,0.295261,0.216727,0.359916,1.34819,1.263428,1.440955,0.933334,0.916667,0.966667,0.966666,0.958333,0.983333,0.818325,0.774966,0.861284,0.841829,0.783275,0.919794,0.145192,0.077023,0.220247,13.387861,10.673624,15.435995,4357319.786781,436531.900287,11014201.636434,0.0,0.0,0.0,0.046803,0.034238,0.059371,0.005417,0.0,0.011104,0.808779,0.702251,0.885742,0.808779,0.71998,0.893221,14.292271,12.422612,16.172189,8965949.909291,404444.593088,20729169.862238,0.0,0.0,0.0,0.030703,0.022444,0.041919,7.3e-05,5e-06,0.000195,0.785999,0.683369,0.86892,0.785999,0.660875,0.876685,0.180081,0.147363,0.21472,0.961036,0.961036,0.961036,0.961036
