task,split,seed,method,example_id,sequence_length,query_pos,reference_delta,target_delta,target_pos,label_token,target_probability,target_rank,top1_hit,top1_confidence,chosen_pos,chosen_delta,chosen_token,chosen_bias
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L24_000,24,23,8,8,15,3,0.0,5,0.0,1.0,0,23,108,0.0
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L24_001,24,23,11,11,12,13,0.0,15,0.0,1.0,0,23,81,0.0
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L24_002,24,23,12,12,11,21,0.0,23,0.0,1.0,0,23,96,0.0
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L24_003,24,23,16,16,7,32,0.0,33,0.0,1.0,0,23,19,0.0
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L24_004,24,23,19,19,4,42,0.0,43,0.0,1.0,0,23,20,0.0
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L24_005,24,23,5,5,18,35,0.0,37,0.0,1.0,0,23,39,0.0
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L32_000,32,31,11,11,20,94,0.0,95,0.0,1.0,0,31,4,0.0
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L32_001,32,31,12,12,19,102,0.0,104,0.0,1.0,0,31,108,0.0
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L32_002,32,31,16,16,15,1,0.0,3,0.0,1.0,0,31,31,0.0
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L32_003,32,31,19,19,12,11,0.0,13,0.0,1.0,0,31,84,0.0
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L32_004,32,31,5,29,2,28,0.0,30,0.0,1.0,0,31,72,0.0
phase_cued_retrieval,train,307,no_position,phase_cued_retrieval_train_seed307_L32_005,32,31,7,7,24,13,0.0,14,0.0,1.0,0,31,1,0.0
phase_cued_retrieval,validation,307,no_position,phase_cued_retrieval_validation_seed307_L40_000,40,39,12,36,3,95,0.0,96,0.0,1.0,0,39,0,0.0
phase_cued_retrieval,validation,307,no_position,phase_cued_retrieval_validation_seed307_L40_001,40,39,16,16,23,82,0.0,83,0.0,1.0,0,39,28,0.0
phase_cued_retrieval,validation,307,no_position,phase_cued_retrieval_validation_seed307_L40_002,40,39,19,19,20,92,0.0,93,0.0,1.0,0,39,81,0.0
phase_cued_retrieval,validation,307,no_position,phase_cued_retrieval_validation_seed307_L40_003,40,39,5,29,10,109,0.0,110,0.0,1.0,0,39,68,0.0
phase_cued_retrieval,validation,307,no_position,phase_cued_retrieval_validation_seed307_L40_004,40,39,7,31,8,6,0.0,8,0.0,1.0,0,39,90,0.0
phase_cued_retrieval,validation,307,no_position,phase_cued_retrieval_validation_seed307_L40_005,40,39,8,32,7,14,0.0,16,0.0,1.0,0,39,63,0.0
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L48_000,48,47,16,40,7,75,0.0,77,0.0,1.0,0,47,109,0.0
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L48_001,48,47,19,43,4,85,0.0,86,0.0,1.0,0,47,58,0.0
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L48_002,48,47,5,29,18,78,0.0,79,0.0,1.0,0,47,43,0.0
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L48_003,48,47,7,31,16,87,0.0,88,0.0,1.0,0,47,39,0.0
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L48_004,48,47,8,32,15,95,0.0,96,0.0,1.0,0,47,42,0.0
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L48_005,48,47,11,35,12,105,0.0,107,0.0,1.0,0,47,111,0.0
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L64_000,64,63,5,53,10,40,0.0,42,0.0,1.0,0,63,88,0.0
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L64_001,64,63,7,55,8,49,0.0,51,0.0,1.0,0,63,76,0.0
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L64_002,64,63,8,56,7,57,0.0,58,0.0,1.0,0,63,19,0.0
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L64_003,64,63,11,59,4,67,0.0,68,0.0,1.0,0,63,41,0.0
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L64_004,64,63,12,60,3,75,0.0,76,0.0,1.0,0,63,70,0.0
phase_cued_retrieval,test,307,no_position,phase_cued_retrieval_test_seed307_L64_005,64,63,16,40,23,62,0.0,64,0.0,1.0,0,63,94,0.0
phase_cued_retrieval,train,307,sinusoidal,phase_cued_retrieval_train_seed307_L24_000,24,23,8,8,15,3,1.0,1,1.0,1.0,15,8,3,1.0
phase_cued_retrieval,train,307,sinusoidal,phase_cued_retrieval_train_seed307_L24_001,24,23,11,11,12,13,1.0,1,1.0,1.0,12,11,13,1.0
phase_cued_retrieval,train,307,sinusoidal,phase_cued_retrieval_train_seed307_L24_002,24,23,12,12,11,21,1.0,1,1.0,1.0,11,12,21,1.0
phase_cued_retrieval,train,307,sinusoidal,phase_cued_retrieval_train_seed307_L24_003,24,23,16,16,7,32,1.0,1,1.0,1.0,7,16,32,1.0
phase_cued_retrieval,train,307,sinusoidal,phase_cued_retrieval_train_seed307_L24_004,24,23,19,19,4,42,1.0,1,1.0,1.0,4,19,42,1.0
phase_cued_retrieval,train,307,sinusoidal,phase_cued_retrieval_train_seed307_L24_005,24,23,5,5,18,35,1.0,1,1.0,1.0,18,5,35,1.0
phase_cued_retrieval,train,307,sinusoidal,phase_cued_retrieval_train_seed307_L32_000,32,31,11,11,20,94,1.0,1,1.0,1.0,20,11,94,1.0
phase_cued_retrieval,train,307,sinusoidal,phase_cued_retrieval_train_seed307_L32_001,32,31,12,12,19,102,1.0,1,1.0,1.0,19,12,102,1.0
phase_cued_retrieval,train,307,sinusoidal,phase_cued_retrieval_train_seed307_L32_002,32,31,16,16,15,1,1.0,1,1.0,1.0,15,16,1,1.0
phase_cued_retrieval,train,307,sinusoidal,phase_cued_retrieval_train_seed307_L32_003,32,31,19,19,12,11,1.0,1,1.0,1.0,12,19,11,1.0
phase_cued_retrieval,train,307,sinusoidal,phase_cued_retrieval_train_seed307_L32_004,32,31,5,29,2,28,0.0,30,0.0,1.0,26,5,33,1.0
phase_cued_retrieval,train,307,sinusoidal,phase_cued_retrieval_train_seed307_L32_005,32,31,7,7,24,13,1.0,1,1.0,1.0,24,7,13,1.0
phase_cued_retrieval,validation,307,sinusoidal,phase_cued_retrieval_validation_seed307_L40_000,40,39,12,36,3,95,0.0,96,0.0,1.0,27,12,13,1.0
