task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,307,no_position,no_position,12,6,12,27.631021,999999999999.999,0.0,0.077158,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.038301,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.014379,0.0,1.0,1.0
phase_cued_retrieval,307,sinusoidal,sinusoidal,12,6,12,2.302585,10.0,0.916667,0.919444,0.916667,1.0,0.083333,18.420681,100000000.0,0.333333,0.367835,0.333333,1.0,0.666667,27.631021,999999999999.999,0.0,0.014377,0.0,1.0,1.0
phase_cued_retrieval,307,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.076642,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.038301,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.014389,0.0,1.0,1.0
phase_cued_retrieval,307,rope_relative,rope,12,6,12,2.302585,10.0,0.916667,0.919444,0.916667,1.0,0.083333,18.420681,100000000.0,0.333333,0.367835,0.333333,1.0,0.666667,27.631021,999999999999.999,0.0,0.014355,0.0,1.0,1.0
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.077403,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.038282,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.014453,0.0,1.0,1.0
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,12,6,12,25.328436,99999999999.9998,0.083333,0.15518,0.083333,1.0,0.916667,27.631021,999999999999.999,0.0,0.038282,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.014423,0.0,1.0,1.0
phase_cued_retrieval,311,no_position,no_position,12,6,12,25.328436,99999999999.9998,0.083333,0.09481,0.083333,1.0,0.916667,27.631021,999999999999.999,0.0,0.016336,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.081325,0.0,1.0,1.0
phase_cued_retrieval,311,sinusoidal,sinusoidal,12,6,12,2.302585,10.0,0.916667,0.917874,0.916667,1.0,0.083333,18.420681,100000000.0,0.333333,0.344683,0.333333,1.0,0.666667,27.631021,999999999999.999,0.0,0.081064,0.0,1.0,1.0
phase_cued_retrieval,311,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.012696,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.016497,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.080899,0.0,1.0,1.0
phase_cued_retrieval,311,rope_relative,rope,12,6,12,2.302585,10.0,0.916667,0.917874,0.916667,1.0,0.083333,18.420681,100000000.0,0.333333,0.344683,0.333333,1.0,0.666667,27.631021,999999999999.999,0.0,0.081098,0.0,1.0,1.0
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.012674,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.016463,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.08099,0.0,1.0,1.0
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,12,6,12,27.631021,999999999999.999,0.0,0.012646,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.016537,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.080944,0.0,1.0,1.0
phase_cued_retrieval,313,no_position,no_position,12,6,12,27.631021,999999999999.999,0.0,0.073308,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.042534,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.018072,0.0,1.0,1.0
phase_cued_retrieval,313,sinusoidal,sinusoidal,12,6,12,2.302585,10.0,0.916667,0.919753,0.916667,1.0,0.083333,18.420681,100000000.0,0.333333,0.371977,0.333333,1.0,0.666667,27.631021,999999999999.999,0.0,0.017984,0.0,1.0,1.0
phase_cued_retrieval,313,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.074195,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.04256,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.018099,0.0,1.0,1.0
phase_cued_retrieval,313,rope_relative,rope,12,6,12,2.302585,10.0,0.916667,0.919753,0.916667,1.0,0.083333,18.420681,100000000.0,0.333333,0.380311,0.333333,1.0,0.666667,25.328436,99999999999.9998,0.083333,0.100295,0.083333,1.0,0.916667
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.073259,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.042559,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.018114,0.0,1.0,1.0
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,12,6,12,27.631021,999999999999.999,0.0,0.073259,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.042559,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.01802,0.0,1.0,1.0
phase_cued_retrieval,317,no_position,no_position,12,6,12,27.631021,999999999999.999,0.0,0.014308,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.019748,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.070053,0.0,1.0,1.0
phase_cued_retrieval,317,sinusoidal,sinusoidal,12,6,12,2.302585,10.0,0.916667,0.917929,0.916667,1.0,0.083333,18.420681,100000000.0,0.333333,0.347337,0.333333,1.0,0.666667,27.631021,999999999999.999,0.0,0.070393,0.0,1.0,1.0
phase_cued_retrieval,317,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.014358,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.019471,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.0703,0.0,1.0,1.0
phase_cued_retrieval,317,rope_relative,rope,12,6,12,2.302585,10.0,0.916667,0.917929,0.916667,1.0,0.083333,18.420681,100000000.0,0.333333,0.347385,0.333333,1.0,0.666667,27.631021,999999999999.999,0.0,0.070013,0.0,1.0,1.0
phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.014409,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.019387,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.070391,0.0,1.0,1.0
phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,12,6,12,27.631021,999999999999.999,0.0,0.01439,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.019519,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.070035,0.0,1.0,1.0
phase_cued_retrieval,331,no_position,no_position,12,6,12,27.631021,999999999999.999,0.0,0.038962,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.015177,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.065782,0.0,1.0,1.0
phase_cued_retrieval,331,sinusoidal,sinusoidal,12,6,12,2.302585,10.0,0.916667,0.917708,0.916667,1.0,0.083333,23.025851,10000000000.000004,0.166667,0.179527,0.166667,1.0,0.833333,27.631021,999999999999.999,0.0,0.065858,0.0,1.0,1.0
phase_cued_retrieval,331,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.038991,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.015215,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.06624,0.0,1.0,1.0
phase_cued_retrieval,331,rope_relative,rope,12,6,12,2.302585,10.0,0.916667,0.917708,0.916667,1.0,0.083333,23.025851,10000000000.000004,0.166667,0.179527,0.166667,1.0,0.833333,27.631021,999999999999.999,0.0,0.066063,0.0,1.0,1.0
phase_cued_retrieval,331,phasewrap_bias,phasewrap_bias,12,6,12,25.328436,99999999999.9998,0.083333,0.120959,0.083333,1.0,0.916667,27.631021,999999999999.999,0.0,0.015264,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.065921,0.0,1.0,1.0
phase_cued_retrieval,331,phasewrap_adapter,phasewrap_adapter,12,6,12,25.328436,99999999999.9998,0.083333,0.120946,0.083333,1.0,0.916667,27.631021,999999999999.999,0.0,0.015196,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.065811,0.0,1.0,1.0
exact_offset_passkey,307,no_position,no_position,12,6,12,25.328436,99999999999.9998,0.083333,0.139976,0.083333,1.0,0.916667,27.631021,999999999999.999,0.0,0.067252,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.035097,0.0,1.0,1.0
exact_offset_passkey,307,sinusoidal,sinusoidal,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.60517,100.0,0.833333,0.83547,0.833333,1.0,0.166667,6.907755,1000.0,0.75,0.77407,0.75,1.0,0.25
exact_offset_passkey,307,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.065961,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.067302,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.035177,0.0,1.0,1.0
exact_offset_passkey,307,rope_relative,rope,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.064614,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.067282,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.035106,0.0,1.0,1.0
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,12,6,12,27.631021,999999999999.999,0.0,0.064614,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.067275,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.035095,0.0,1.0,1.0
exact_offset_passkey,311,no_position,no_position,12,6,12,27.631021,999999999999.999,0.0,0.053859,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.018918,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.059572,0.0,1.0,1.0
exact_offset_passkey,311,sinusoidal,sinusoidal,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.21034,10000.0,0.666667,0.687999,0.666667,1.0,0.333333
exact_offset_passkey,311,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.053801,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.018963,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.059557,0.0,1.0,1.0
exact_offset_passkey,311,rope_relative,rope,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.053789,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.019075,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.059523,0.0,1.0,1.0
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,12,6,12,27.631021,999999999999.999,0.0,0.05382,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.019045,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.059414,0.0,1.0,1.0
exact_offset_passkey,313,no_position,no_position,12,6,12,27.631021,999999999999.999,0.0,0.062476,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.011965,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.082582,0.0,1.0,1.0
exact_offset_passkey,313,sinusoidal,sinusoidal,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.60517,100.0,0.833333,0.835185,0.833333,1.0,0.166667,11.512925,100000.0,0.583333,0.653694,0.583333,1.0,0.416667
exact_offset_passkey,313,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.063003,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.011942,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.082916,0.0,1.0,1.0
exact_offset_passkey,313,rope_relative,rope,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
exact_offset_passkey,313,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.062849,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.011909,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.082616,0.0,1.0,1.0
exact_offset_passkey,313,phasewrap_adapter,phasewrap_adapter,12,6,12,27.631021,999999999999.999,0.0,0.062849,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.011909,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.082616,0.0,1.0,1.0
exact_offset_passkey,317,no_position,no_position,12,6,12,27.631021,999999999999.999,0.0,0.014339,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.023025,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.114046,0.0,1.0,1.0
exact_offset_passkey,317,sinusoidal,sinusoidal,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,6.907755,1000.0,0.75,0.753528,0.75,1.0,0.25
exact_offset_passkey,317,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.014318,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.023092,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.114057,0.0,1.0,1.0
exact_offset_passkey,317,rope_relative,rope,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
exact_offset_passkey,317,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.014271,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.023053,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.114136,0.0,1.0,1.0
exact_offset_passkey,317,phasewrap_adapter,phasewrap_adapter,12,6,12,27.631021,999999999999.999,0.0,0.014301,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.023152,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.114176,0.0,1.0,1.0
exact_offset_passkey,331,no_position,no_position,12,6,12,25.328436,99999999999.9998,0.083333,0.094244,0.083333,1.0,0.916667,27.631021,999999999999.999,0.0,0.019921,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.045156,0.0,1.0,1.0
exact_offset_passkey,331,sinusoidal,sinusoidal,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.60517,100.0,0.833333,0.837607,0.833333,1.0,0.166667,2.302585,10.0,0.916667,0.91791,0.916667,1.0,0.083333
exact_offset_passkey,331,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.011717,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.019934,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.045538,0.0,1.0,1.0
exact_offset_passkey,331,rope_relative,rope,12,6,12,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
exact_offset_passkey,331,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.011665,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.02002,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.045156,0.0,1.0,1.0
exact_offset_passkey,331,phasewrap_adapter,phasewrap_adapter,12,6,12,27.631021,999999999999.999,0.0,0.011665,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.020055,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.046347,0.0,1.0,1.0
