task,method,seed_count,failed_run_count,train_loss_mean,train_perplexity_mean,train_top1_accuracy_mean,train_mrr_mean,train_mean_target_probability_mean,train_mean_top1_confidence_mean,train_expected_calibration_error_mean,validation_loss_mean,validation_perplexity_mean,validation_top1_accuracy_mean,validation_mrr_mean,validation_mean_target_probability_mean,validation_mean_top1_confidence_mean,validation_expected_calibration_error_mean,test_loss_mean,test_perplexity_mean,test_top1_accuracy_mean,test_mrr_mean,test_mean_target_probability_mean,test_mean_top1_confidence_mean,test_expected_calibration_error_mean
phase_cued_retrieval,no_position,5,0,27.170504,819999999999.9993,0.016667,0.059709,0.016667,1.0,0.983333,27.631021,999999999999.999,0.0,0.026419,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.049922,0.0,1.0,1.0
phase_cued_retrieval,sinusoidal,5,0,2.302585,10.0,0.916667,0.918542,0.916667,1.0,0.083333,19.341715,2080000000.000001,0.3,0.322272,0.3,1.0,0.7,27.631021,999999999999.999,0.0,0.049935,0.0,1.0,1.0
phase_cued_retrieval,alibi,5,0,27.631021,999999999999.999,0.0,0.043376,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.026409,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.049985,0.0,1.0,1.0
phase_cued_retrieval,rope_relative,5,0,2.302585,10.0,0.916667,0.918542,0.916667,1.0,0.083333,19.341715,2080000000.000001,0.3,0.323948,0.3,1.0,0.7,27.170504,819999999999.9993,0.016667,0.066365,0.016667,1.0,0.983333
phase_cued_retrieval,phasewrap_bias,5,0,27.170504,819999999999.9993,0.016667,0.059741,0.016667,1.0,0.983333,27.631021,999999999999.999,0.0,0.026391,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.049974,0.0,1.0,1.0
phase_cued_retrieval,phasewrap_adapter,5,0,26.709987,639999999999.9994,0.033333,0.075284,0.033333,1.0,0.966667,27.631021,999999999999.999,0.0,0.026419,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.049847,0.0,1.0,1.0
exact_offset_passkey,no_position,5,0,26.709987,639999999999.9994,0.033333,0.072979,0.033333,1.0,0.966667,27.631021,999999999999.999,0.0,0.028216,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.067291,0.0,1.0,1.0
exact_offset_passkey,sinusoidal,5,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.763102,60.4,0.9,0.901652,0.9,1.0,0.1,7.368272,22402.0,0.733333,0.75744,0.733333,1.0,0.266667
exact_offset_passkey,alibi,5,0,27.631021,999999999999.999,0.0,0.04176,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.028247,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.067449,0.0,1.0,1.0
exact_offset_passkey,rope_relative,5,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
exact_offset_passkey,phasewrap_bias,5,0,27.631021,999999999999.999,0.0,0.041438,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.028268,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.067307,0.0,1.0,1.0
exact_offset_passkey,phasewrap_adapter,5,0,27.631021,999999999999.999,0.0,0.04145,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.028287,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.06753,0.0,1.0,1.0
tiny_text_fact_qa,no_position,5,0,27.631021,999999999999.999,0.0,0.009935,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009942,0.0,1.0,1.0,27.170504,819999999999.9993,0.016667,0.026437,0.016667,1.0,0.983333
tiny_text_fact_qa,sinusoidal,5,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.526204,2242.0,0.8,0.801989,0.8,1.0,0.2
tiny_text_fact_qa,alibi,5,0,27.631021,999999999999.999,0.0,0.009942,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009942,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009942,0.0,1.0,1.0
tiny_text_fact_qa,rope_relative,5,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,phasewrap_bias,5,0,27.631021,999999999999.999,0.0,0.009934,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009932,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.00993,0.0,1.0,1.0
tiny_text_fact_qa,phasewrap_adapter,5,0,27.631021,999999999999.999,0.0,0.009934,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.009929,0.0,1.0,1.0,27.631021,999999999999.999,0.0,0.00993,0.0,1.0,1.0
