task,method,seed_count,failed_run_count,selected_position_scale_mean,selected_cue_scale_mean,selected_distance_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high
phase_cued_retrieval,no_position,5,0,0.0,3.825279,1.334498,0.302508,0.055022,0.566047,1.421662,1.038617,1.832299,0.9,0.8,1.0,0.95,0.9,1.0,0.865911,0.755859,0.965459,0.919267,0.872288,0.958378,0.103054,0.034541,0.177521,3.575299,2.956203,3.960786,41.209121,23.967674,52.632596,0.1,0.0,0.3,0.31698,0.233889,0.438384,0.060125,0.020262,0.12729,0.519637,0.417464,0.592746,0.545482,0.486368,0.592746,4.12973,3.636511,4.52194,68.376712,44.199698,89.816216,0.0,0.0,0.0,0.089353,0.065093,0.119718,0.022474,0.012168,0.035644,0.213523,0.185664,0.241841,0.213523,0.184113,0.247772
phase_cued_retrieval,sinusoidal,5,0,6.810332,2.733998,3.596743,0.276555,0.024371,0.528925,1.3876,1.02552,1.749681,0.9,0.8,1.0,0.933333,0.866666,1.0,0.876909,0.772336,0.98023,0.92705,0.874082,0.980044,0.06734,0.01977,0.11491,5.674034,4.56546,6.732563,493.221056,165.052272,863.912549,0.1,0.0,0.3,0.266071,0.16131,0.45,0.075808,0.001719,0.219963,0.805281,0.724536,0.863364,0.760395,0.671255,0.849593,5.019929,4.617234,5.422624,171.26714,101.571563,254.11576,0.0,0.0,0.0,0.177364,0.109228,0.250634,0.027769,0.00729,0.052817,0.620421,0.550629,0.685942,0.620421,0.551222,0.685942
phase_cued_retrieval,alibi,5,0,-0.169306,3.827018,1.169306,0.302347,0.038809,0.565885,1.421488,1.038434,1.832138,0.9,0.8,1.0,0.95,0.9,1.0,0.866015,0.76647,0.965561,0.919372,0.873974,0.965561,0.102949,0.032633,0.177539,3.576618,2.95552,3.973082,41.29508,24.156625,52.850306,0.1,0.0,0.3,0.31698,0.231111,0.436829,0.060235,0.020461,0.127667,0.521119,0.414645,0.593728,0.546735,0.491492,0.594244,4.129831,3.755624,4.472708,68.44092,45.712404,94.793215,0.0,0.0,0.0,0.089353,0.065093,0.119718,0.022518,0.012941,0.035799,0.215365,0.185371,0.249311,0.215365,0.183875,0.25191
phase_cued_retrieval,rope_relative,5,0,11.427864,2.726342,3.190522,0.396805,0.064061,0.770773,1.609566,1.06484,2.202262,0.9,0.8,1.0,0.925,0.8125,1.0,0.851145,0.735487,0.949588,0.910876,0.864786,0.956966,0.094379,0.041047,0.143123,4.269043,3.085698,5.423156,161.388432,29.96155,379.455494,0.1,0.0,0.3,0.30204,0.163707,0.473333,0.051154,0.011417,0.092795,0.535486,0.430734,0.643779,0.587725,0.434799,0.74065,5.477998,4.395453,6.340596,380.421557,130.100148,691.828627,0.0,0.0,0.0,0.070048,0.037398,0.119443,0.016342,0.004426,0.035199,0.245565,0.187457,0.30704,0.245565,0.190668,0.298163
phase_cued_retrieval,phasewrap_bias,5,0,-2.455235,4.245378,1.071319,0.307241,0.027046,0.567518,1.438169,1.031835,1.848007,0.9,0.8,1.0,0.9375,0.85,1.0,0.874045,0.77532,0.978648,0.930828,0.886917,0.976918,0.096352,0.023082,0.169623,3.784579,2.99571,4.381411,55.098969,28.439362,84.706642,0.1,0.0,0.3,0.323015,0.230515,0.460882,0.055785,0.01511,0.127063,0.572009,0.437622,0.69091,0.539272,0.32667,0.687783,4.328925,3.75504,4.936331,98.856451,44.734113,172.05584,0.0,0.0,0.0,0.07574,0.045226,0.118876,0.023172,0.012645,0.037534,0.328087,0.268915,0.418749,0.328087,0.26849,0.420655
phase_cued_retrieval,phasewrap_adapter,5,0,-2.002173,4.17861,1.04308,0.281782,0.023597,0.546196,1.389858,1.026702,1.800226,0.9,0.8,1.0,0.95,0.9,1.0,0.876494,0.763339,0.979351,0.930273,0.885614,0.97724,0.094582,0.02276,0.175579,3.567381,2.883968,4.063369,42.508451,22.510294,60.367185,0.1,0.0,0.3,0.328942,0.243943,0.463942,0.063538,0.019578,0.136603,0.557436,0.421101,0.662137,0.579163,0.48628,0.662137,4.097668,3.600179,4.55556,69.682863,40.532351,98.833375,0.0,0.0,0.0,0.090348,0.057595,0.129051,0.026758,0.014575,0.042819,0.30452,0.251073,0.377038,0.30452,0.250934,0.377038
exact_offset_passkey,no_position,5,0,0.0,3.825279,1.334498,3.805621,3.324072,4.090538,49.380842,32.785296,59.157982,0.05,0.0,0.15,0.121807,0.061424,0.231588,0.067317,0.016814,0.166376,0.254574,0.206285,0.33793,0.206014,0.185582,0.220077,4.178913,2.881547,5.679264,186.767279,29.802134,463.771919,0.1,0.0,0.3,0.177913,0.050714,0.366778,0.107283,0.00842,0.287654,0.368207,0.212479,0.527601,0.28105,0.151948,0.453808,4.376589,3.885204,4.764346,88.161919,55.584582,117.658832,0.05,0.0,0.15,0.138062,0.070229,0.214406,0.059602,0.012179,0.12755,0.341266,0.278585,0.399423,0.311319,0.260434,0.36908
exact_offset_passkey,sinusoidal,5,0,6.810332,2.733998,3.596743,0.314894,0.227571,0.402217,1.377541,1.255632,1.503002,1.0,1.0,1.0,1.0,1.0,1.0,0.739481,0.679967,0.797854,0.739481,0.681107,0.800781,0.260519,0.202146,0.319105,0.85078,0.395717,1.305842,2.712722,1.513984,4.159932,0.7,0.5,0.9,0.825,0.7,0.95,0.558347,0.403311,0.699933,0.676488,0.534627,0.76923,0.351545,0.26873,0.434361,1.257967,0.676392,1.839542,4.627271,2.037715,7.871077,0.5,0.3,0.75,0.699167,0.573333,0.875,0.449186,0.354461,0.587938,0.623067,0.515873,0.702399,0.269615,0.182204,0.383378
exact_offset_passkey,alibi,5,0,-0.169306,3.827018,1.169306,3.80603,3.309946,4.088963,49.388306,32.709115,59.701234,0.05,0.0,0.15,0.121807,0.061226,0.226827,0.067316,0.016838,0.166375,0.254599,0.206172,0.331785,0.206024,0.186058,0.225611,4.17949,3.066988,5.497322,187.84433,24.063174,463.026099,0.1,0.0,0.3,0.177913,0.050714,0.340223,0.107308,0.00805,0.2901,0.367474,0.216187,0.52555,0.280331,0.165202,0.449322,4.379502,3.979724,4.75721,88.540457,53.523467,115.960388,0.05,0.0,0.15,0.138062,0.072371,0.221622,0.059605,0.012125,0.12957,0.343813,0.27816,0.414729,0.313807,0.258604,0.375298
exact_offset_passkey,rope_relative,5,0,11.427864,2.726342,3.190522,1.463366,1.282329,1.601327,4.383464,3.786816,5.050163,0.9,0.8,1.0,0.925,0.85,1.0,0.259095,0.208255,0.34014,0.266263,0.221357,0.337872,0.633737,0.529957,0.732423,1.520234,1.018734,1.922245,5.387995,3.151235,8.872716,0.9,0.7,1.0,0.908333,0.725,1.0,0.289611,0.181951,0.458254,0.299982,0.207639,0.452829,0.626405,0.484721,0.765949,1.583454,1.291937,1.912666,5.213826,3.593768,6.781237,0.6,0.35,0.9,0.765476,0.605952,0.925,0.25663,0.210069,0.287926,0.320941,0.2774,0.386428,0.410884,0.253117,0.57578
exact_offset_passkey,phasewrap_bias,5,0,-2.455235,4.245378,1.071319,3.230192,2.761043,3.495948,27.580852,18.713433,33.01066,0.05,0.0,0.15,0.150256,0.074193,0.282407,0.083976,0.032619,0.18561,0.242871,0.160191,0.384431,0.194831,0.160191,0.237756,3.872143,2.60521,5.668358,196.462744,18.205535,530.17178,0.1,0.0,0.3,0.232691,0.070854,0.375813,0.120475,0.010674,0.3043,0.428474,0.245528,0.627017,0.335425,0.170163,0.539916,4.581781,4.234752,5.017408,107.652939,71.728762,151.77654,0.05,0.0,0.15,0.134767,0.062444,0.218779,0.053631,0.012323,0.127433,0.402439,0.343583,0.469512,0.373322,0.338094,0.397712
