task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,train_mean_target_attention_mean,train_mean_target_attention_ci_low,train_mean_target_attention_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,validation_mean_target_attention_mean,validation_mean_target_attention_ci_low,validation_mean_target_attention_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,test_mean_target_attention_mean,test_mean_target_attention_ci_low,test_mean_target_attention_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high,learned_copy_gate_mean,train_mean_copy_gate_mean,validation_mean_copy_gate_mean,test_mean_copy_gate_mean,train_support_accuracy_mean,validation_support_accuracy_mean,test_support_accuracy_mean
phase_cued_retrieval,no_position,5,0,1.0,3.00346,2.891282,3.097337,20.339553,17.830684,22.592052,0.183333,0.1,0.266667,0.386799,0.320113,0.442996,0.056259,0.047537,0.068187,0.08653,0.080113,0.093667,0.140237,0.085904,0.197309,0.046713,0.043437,0.049956,3.588319,3.517174,3.644809,36.270654,33.563899,38.057612,0.1,0.033333,0.166667,0.185438,0.129063,0.250837,0.030268,0.028239,0.033262,0.064183,0.058235,0.069577,0.089713,0.071971,0.105246,0.025163,0.024484,0.025587,3.832028,3.786479,3.881809,46.229952,44.154106,48.385764,0.016667,0.0,0.05,0.130167,0.110932,0.150232,0.023694,0.022613,0.024493,0.052245,0.049412,0.056145,0.047462,0.037617,0.055252,0.018473,0.018127,0.018904,6.267071,6.160295,6.371568,0.857643,0.857643,0.857643,0.857643,0.866667,0.6,0.65
phase_cued_retrieval,sinusoidal,5,0,1.299372,2.116142,2.039579,2.173849,8.325042,7.709371,8.850292,0.883333,0.85,0.916667,0.921296,0.898148,0.944444,0.12745,0.117928,0.13977,0.13065,0.121581,0.143286,0.755635,0.721109,0.788743,0.131375,0.126276,0.137314,3.166504,3.113297,3.213691,23.76784,22.512011,25.007873,0.2,0.066667,0.3,0.343938,0.281378,0.408047,0.048204,0.045785,0.05037,0.08079,0.078792,0.083317,0.174865,0.106894,0.242835,0.044629,0.040921,0.047731,3.574981,3.514674,3.636035,35.791448,33.639725,37.972111,0.033333,0.0,0.066666,0.146898,0.114233,0.177879,0.029719,0.027554,0.031884,0.06592,0.063103,0.070274,0.048937,0.028368,0.068985,0.025197,0.024754,0.025666,4.459783,4.372279,4.525227,0.857796,0.857796,0.857796,0.857796,0.866667,0.733333,0.7
phase_cued_retrieval,alibi,5,0,1.081094,3.049999,2.939847,3.138791,21.262505,19.20706,22.899333,0.1,0.033333,0.183333,0.250664,0.204823,0.325196,0.053544,0.045795,0.066941,0.086036,0.079607,0.094516,0.077361,0.029745,0.120101,0.044932,0.04302,0.04704,3.755416,3.679614,3.830913,42.927441,39.801965,46.122477,0.033333,0.0,0.1,0.129585,0.098833,0.167422,0.02623,0.024484,0.027777,0.063627,0.056485,0.070138,0.076777,0.063524,0.098511,0.019805,0.018541,0.020849,4.1076,4.021235,4.193325,61.048441,56.387917,65.43213,0.0,0.0,0.0,0.065511,0.060728,0.0713,0.018491,0.017465,0.019591,0.05495,0.050355,0.060417,0.05495,0.049612,0.060113,0.012943,0.012319,0.013567,6.281009,6.146061,6.366885,0.857638,0.857638,0.857638,0.857638,0.883333,0.733333,0.8
phase_cued_retrieval,rope_relative,5,0,1.299768,2.763652,2.668146,2.823528,15.926352,14.459402,16.875236,0.333333,0.216667,0.45,0.535833,0.464722,0.609722,0.06826,0.062049,0.079179,0.084959,0.079701,0.092094,0.256228,0.142155,0.404779,0.062988,0.059974,0.067455,3.515636,3.448917,3.572305,33.744501,31.450889,36.065251,0.066667,0.0,0.133334,0.205022,0.161479,0.270605,0.032624,0.030223,0.034938,0.06397,0.058231,0.069789,0.077037,0.060011,0.094063,0.02696,0.026157,0.027761,3.943644,3.895543,4.005364,51.707522,49.18321,54.987141,0.016667,0.0,0.05,0.108316,0.080202,0.138536,0.02157,0.020567,0.022517,0.052128,0.048667,0.055438,0.05,0.043842,0.056213,0.016152,0.015577,0.016602,5.757727,5.63576,5.847859,0.857709,0.857709,0.857709,0.857709,0.9,0.7,0.683333
phase_cued_retrieval,phasewrap_bias,5,0,0.703241,3.388032,3.205571,3.568007,30.279077,25.582007,36.535407,0.1,0.033333,0.15,0.208025,0.150689,0.268308,0.041662,0.033049,0.050694,0.119987,0.113714,0.124264,0.094077,0.058314,0.116568,0.026717,0.024629,0.029577,4.166285,4.104681,4.239407,64.673695,60.668243,69.749445,0.0,0.0,0.0,0.066889,0.051196,0.082582,0.018352,0.015804,0.021143,0.097549,0.089921,0.108149,0.097549,0.089921,0.108149,0.012734,0.012288,0.013034,4.373063,4.293311,4.459154,79.685623,72.957151,86.331371,0.0,0.0,0.0,0.050901,0.042484,0.061352,0.014773,0.012868,0.016523,0.080926,0.076948,0.084974,0.080926,0.076877,0.084547,0.0095,0.009317,0.009682,6.973296,6.807025,7.110659,0.85761,0.85761,0.85761,0.85761,0.616667,0.366667,0.5
phase_cued_retrieval,phasewrap_adapter,5,0,0.703427,3.382861,3.13918,3.580605,30.261813,24.434999,36.035128,0.1,0.033333,0.15,0.210179,0.153402,0.291265,0.041841,0.032056,0.051936,0.11919,0.111152,0.123626,0.086188,0.059755,0.11038,0.02751,0.02486,0.031364,4.178415,4.115773,4.241057,65.476698,61.300099,69.653297,0.0,0.0,0.0,0.071036,0.049563,0.101942,0.018311,0.015489,0.021185,0.095762,0.085277,0.114225,0.095762,0.084895,0.113428,0.012417,0.012117,0.012707,4.391584,4.291758,4.467752,81.252787,73.349031,90.770199,0.0,0.0,0.0,0.049255,0.04134,0.059061,0.014541,0.01254,0.0163,0.079259,0.074272,0.083987,0.079259,0.074531,0.084546,0.009084,0.008911,0.009253,6.931175,6.733645,7.092116,0.857624,0.857624,0.857624,0.857624,0.633333,0.433333,0.533333
exact_offset_passkey,no_position,5,0,1.0,2.933036,2.852772,3.025441,18.893747,17.064526,20.683289,0.166667,0.083333,0.283333,0.364021,0.288709,0.453776,0.058271,0.05167,0.064096,0.080686,0.074686,0.087082,0.168829,0.108461,0.263339,0.046862,0.04433,0.049546,3.514158,3.43942,3.588896,33.728234,31.169079,36.265111,0.066667,0.0,0.133334,0.184919,0.115893,0.251799,0.032895,0.0284,0.03812,0.065616,0.061149,0.070359,0.09735,0.061149,0.14742,0.025397,0.024093,0.026251,3.873384,3.787966,3.960246,48.361342,44.207133,52.515551,0.066667,0.0,0.15,0.151449,0.086371,0.24035,0.02312,0.020214,0.026196,0.053897,0.049655,0.057927,0.078144,0.041414,0.132243,0.018577,0.018062,0.019147,6.267071,6.161733,6.359315,0.857643,0.857643,0.857643,0.857643,1.0,1.0,1.0
exact_offset_passkey,sinusoidal,5,0,1.299372,2.009765,1.940036,2.082319,7.487551,6.950424,8.061001,1.0,1.0,1.0,1.0,1.0,1.0,0.137264,0.126083,0.148921,0.137264,0.125921,0.148945,0.862736,0.851393,0.874079,0.141618,0.136368,0.147168,2.586247,2.529482,2.638963,13.305082,12.535294,14.077765,0.8,0.633333,0.9,0.880556,0.775,0.95,0.075996,0.072559,0.080835,0.080354,0.076329,0.084729,0.72767,0.573659,0.852633,0.079166,0.075953,0.081906,2.861871,2.812746,2.902557,17.519719,16.564623,18.162587,0.433333,0.316667,0.516667,0.661667,0.601666,0.7125,0.058903,0.056109,0.062219,0.0695,0.064715,0.072609,0.367839,0.273981,0.44801,0.060447,0.058891,0.061589,4.459783,4.372279,4.522628,0.857796,0.857796,0.857796,0.857796,1.0,1.0,1.0
exact_offset_passkey,alibi,5,0,1.081094,3.019952,2.862693,3.123094,20.713529,18.104801,22.663759,0.1,0.0,0.2,0.283371,0.192319,0.373689,0.053838,0.046895,0.064376,0.085104,0.078094,0.091444,0.115504,0.083324,0.151055,0.045166,0.042099,0.04862,3.589739,3.465514,3.713964,36.612931,32.059191,41.371315,0.066667,0.0,0.133334,0.164809,0.085602,0.234517,0.030779,0.026529,0.035307,0.06635,0.063031,0.07066,0.079285,0.064951,0.094061,0.024869,0.022987,0.02653,3.924299,3.794379,3.997761,51.003145,45.197667,54.488967,0.016667,0.0,0.05,0.116927,0.07019,0.159091,0.022093,0.019975,0.02484,0.056065,0.051331,0.06067,0.049905,0.043589,0.054913,0.017924,0.016398,0.018976,6.281009,6.146061,6.366637,0.857638,0.857638,0.857638,0.857638,1.0,1.0,1.0
exact_offset_passkey,rope_relative,5,0,1.299768,2.651975,2.525486,2.771728,14.329375,12.537493,15.986937,0.466667,0.25,0.683333,0.669881,0.540714,0.8,0.074993,0.064635,0.085282,0.085384,0.076766,0.093847,0.406865,0.222702,0.574618,0.066178,0.062497,0.070089,3.251785,3.183943,3.307867,25.892304,24.412589,27.29749,0.1,0.033333,0.166667,0.303677,0.230515,0.376839,0.04004,0.037587,0.042458,0.064478,0.060795,0.067948,0.088367,0.072864,0.103871,0.036567,0.035029,0.037958,3.519172,3.462501,3.575842,33.833935,31.882716,36.05111,0.133333,0.066667,0.2,0.267402,0.185641,0.364017,0.031051,0.028883,0.033219,0.051936,0.049161,0.055255,0.104389,0.059493,0.15393,0.028653,0.028398,0.028869,5.757727,5.63576,5.848733,0.857709,0.857709,0.857709,0.857709,1.0,1.0,1.0
