task,method,seed_count,failed_run_count,learned_position_scale_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,train_mean_target_attention_mean,train_mean_target_attention_ci_low,train_mean_target_attention_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,validation_mean_target_attention_mean,validation_mean_target_attention_ci_low,validation_mean_target_attention_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high,test_mean_target_attention_mean,test_mean_target_attention_ci_low,test_mean_target_attention_ci_high,final_training_loss_mean,final_training_loss_ci_low,final_training_loss_ci_high,learned_copy_gate_mean,train_mean_copy_gate_mean,validation_mean_copy_gate_mean,test_mean_copy_gate_mean,train_support_accuracy_mean,validation_support_accuracy_mean,test_support_accuracy_mean
phase_cued_retrieval,no_position,5,0,1.0,3.173245,3.081462,3.238742,24.001519,21.771198,25.997634,0.144444,0.088889,0.244444,0.336288,0.263249,0.395697,0.045861,0.041149,0.053194,0.074145,0.06916,0.078737,0.101267,0.050878,0.184229,0.038185,0.036964,0.039702,3.362474,3.278072,3.472887,29.016189,26.550204,31.714627,0.133333,0.033333,0.233333,0.310002,0.252151,0.390355,0.037064,0.033999,0.041071,0.061768,0.055779,0.067048,0.122326,0.071507,0.203689,0.028465,0.027884,0.029155,3.802725,3.749502,3.873896,44.92999,42.728647,47.762761,0.033333,0.0,0.066666,0.137929,0.097987,0.177871,0.024174,0.022618,0.025325,0.050759,0.048901,0.05308,0.043381,0.03447,0.05075,0.018674,0.01842,0.018905,6.972301,6.901055,7.016919,0.857619,0.857619,0.857619,0.857619,0.877778,0.833333,0.65
phase_cued_retrieval,sinusoidal,5,0,1.299445,2.446816,2.380307,2.488569,11.57573,10.84104,12.034605,0.677778,0.644444,0.711111,0.749389,0.730526,0.775033,0.099573,0.092569,0.110905,0.112148,0.104917,0.122323,0.565629,0.537996,0.598634,0.099858,0.095206,0.104935,2.994107,2.945758,3.049778,20.005571,18.912424,21.217043,0.3,0.233333,0.333333,0.424555,0.39486,0.458088,0.059096,0.054428,0.065838,0.088007,0.084084,0.093932,0.232026,0.149836,0.282804,0.051218,0.045444,0.056993,3.568531,3.507725,3.634262,35.559429,33.405946,37.878237,0.033333,0.0,0.066666,0.145807,0.114505,0.173784,0.029804,0.02763,0.031978,0.065448,0.063327,0.067586,0.047614,0.026385,0.066978,0.02527,0.025052,0.025512,5.232661,5.16956,5.28943,0.857785,0.857785,0.857785,0.857785,0.911111,0.9,0.85
phase_cued_retrieval,alibi,5,0,0.719965,3.188069,3.080092,3.266621,24.400494,21.992836,26.403009,0.088889,0.022222,0.188889,0.255167,0.196145,0.330931,0.046787,0.040728,0.057252,0.077103,0.071938,0.084696,0.079419,0.027494,0.131345,0.037507,0.036225,0.03908,3.458321,3.379542,3.545138,31.935891,29.386093,35.607003,0.1,0.0,0.2,0.234554,0.183286,0.310565,0.035,0.031316,0.038458,0.064131,0.058038,0.069539,0.119895,0.063218,0.20345,0.024814,0.023611,0.026534,3.986958,3.940151,4.062604,54.050197,51.171753,58.635723,0.05,0.016667,0.083333,0.121601,0.078627,0.160603,0.020765,0.019411,0.021876,0.053027,0.050368,0.056062,0.039166,0.029845,0.048941,0.014891,0.014712,0.015053,6.943042,6.868395,6.994458,0.857627,0.857627,0.857627,0.857627,0.922222,0.9,0.716667
phase_cued_retrieval,rope_relative,5,0,1.299801,3.006163,2.94321,3.052788,20.26108,18.838079,21.184991,0.188889,0.122222,0.288889,0.409885,0.368206,0.471896,0.054307,0.049995,0.061204,0.074754,0.070565,0.078416,0.121481,0.062844,0.216751,0.048695,0.047426,0.050692,3.335091,3.268657,3.417951,28.196942,26.293485,30.652487,0.133333,0.033333,0.233333,0.294593,0.24421,0.348482,0.039115,0.035534,0.043203,0.063277,0.058015,0.069072,0.119401,0.070762,0.193202,0.030306,0.028812,0.031846,3.929071,3.873385,3.998285,50.994926,48.108351,54.66934,0.016667,0.0,0.05,0.112003,0.087069,0.13992,0.021908,0.020702,0.023192,0.052494,0.050244,0.05457,0.049784,0.042522,0.054769,0.016309,0.015912,0.016591,6.470886,6.402927,6.51093,0.85769,0.85769,0.85769,0.85769,0.888889,0.866667,0.666667
phase_cued_retrieval,phasewrap_bias,5,0,0.703033,3.58788,3.391354,3.773068,36.931619,31.44336,43.7118,0.044445,0.011111,0.077778,0.150306,0.106138,0.205273,0.034555,0.026292,0.044836,0.110959,0.103137,0.118098,0.080133,0.059436,0.098773,0.021393,0.019641,0.023687,3.825872,3.691835,3.968455,46.527116,39.800231,54.455205,0.0,0.0,0.0,0.089526,0.065888,0.120007,0.025149,0.020118,0.031261,0.092821,0.082995,0.105029,0.092821,0.082995,0.104971,0.015023,0.014439,0.015784,4.311941,4.235722,4.417018,75.034981,68.426283,83.38517,0.0,0.0,0.0,0.055892,0.046173,0.065395,0.015796,0.013655,0.017734,0.079626,0.074682,0.084217,0.079626,0.075035,0.083977,0.009745,0.009658,0.009838,7.637738,7.511088,7.733954,0.857695,0.857695,0.857695,0.857695,0.744444,0.733333,0.433333
phase_cued_retrieval,phasewrap_adapter,5,0,0.703202,3.591608,3.351616,3.752187,37.175281,30.191683,43.093287,0.055556,0.022222,0.077778,0.154258,0.114923,0.221972,0.034779,0.026755,0.046701,0.109652,0.102489,0.117838,0.073564,0.049914,0.095753,0.021713,0.019668,0.025022,3.865492,3.732873,3.996973,48.364834,42.317432,54.972274,0.0,0.0,0.0,0.087824,0.062372,0.126322,0.024361,0.019423,0.029461,0.0907,0.080057,0.107469,0.0907,0.080057,0.10593,0.014533,0.013862,0.015289,4.347666,4.244785,4.439152,77.877155,69.722836,88.123087,0.0,0.0,0.0,0.054029,0.043462,0.068456,0.015475,0.013202,0.017643,0.079041,0.073998,0.083572,0.079041,0.074511,0.083572,0.009288,0.009148,0.009474,7.614413,7.47793,7.706953,0.85768,0.85768,0.85768,0.85768,0.788889,0.766667,0.466667
exact_offset_passkey,no_position,5,0,1.0,3.160913,3.109661,3.208874,23.630193,22.282462,24.7533,0.144445,0.088889,0.2,0.331755,0.295883,0.36122,0.045649,0.043036,0.049091,0.069423,0.067805,0.070899,0.093607,0.043478,0.142086,0.037197,0.036868,0.037412,3.358487,3.284107,3.447523,28.872354,26.852226,31.578609,0.1,0.0,0.233333,0.280747,0.200405,0.382376,0.038171,0.033807,0.042157,0.060754,0.057663,0.064496,0.129243,0.058127,0.214993,0.027769,0.027316,0.028133,3.856992,3.789405,3.917084,47.477488,44.295081,50.658326,0.033333,0.0,0.066666,0.13151,0.083661,0.176363,0.022721,0.020762,0.024618,0.049818,0.048528,0.050893,0.044353,0.037861,0.050844,0.018583,0.018366,0.018769,6.972301,6.901055,7.017075,0.857619,0.857619,0.857619,0.857619,1.0,1.0,1.0
exact_offset_passkey,sinusoidal,5,0,1.299445,2.185331,2.144534,2.211477,8.900624,8.570709,9.129216,0.988889,0.966666,1.0,0.994444,0.983333,1.0,0.115196,0.111576,0.120908,0.115539,0.112141,0.120816,0.87335,0.853633,0.887111,0.118522,0.117234,0.119856,2.377319,2.339264,2.415373,10.787357,10.377423,11.19729,0.966667,0.9,1.0,0.983333,0.95,1.0,0.094737,0.090425,0.099049,0.095768,0.090793,0.101111,0.870899,0.798877,0.909207,0.092237,0.091133,0.093582,2.852933,2.790244,2.903244,17.374501,16.249056,18.272278,0.366667,0.3,0.45,0.643611,0.608889,0.676389,0.059161,0.05588,0.063499,0.067185,0.063611,0.070174,0.302956,0.234226,0.369703,0.060639,0.05905,0.061823,5.232661,5.16956,5.290632,0.857785,0.857785,0.857785,0.857785,1.0,1.0,1.0
exact_offset_passkey,alibi,5,0,0.719965,3.160605,3.118699,3.200359,23.610482,22.676492,24.416301,0.077778,0.044444,0.111111,0.263321,0.225012,0.293165,0.045757,0.043062,0.048587,0.07569,0.072773,0.078473,0.053377,0.034922,0.066516,0.038075,0.037237,0.038905,3.350862,3.264803,3.436922,28.669718,26.205521,31.075238,0.066667,0.0,0.133334,0.246209,0.175548,0.317035,0.038266,0.034721,0.041812,0.066466,0.062586,0.069352,0.106211,0.065629,0.159913,0.02866,0.026552,0.030419,3.893941,3.767472,3.9747,49.441211,44.273177,53.571812,0.016667,0.0,0.05,0.118579,0.079553,0.157349,0.022234,0.019848,0.024635,0.051825,0.050091,0.053036,0.047872,0.040093,0.053036,0.018248,0.017127,0.019073,6.943042,6.875076,6.987776,0.857627,0.857627,0.857627,0.857627,1.0,1.0,1.0
exact_offset_passkey,rope_relative,5,0,1.299801,2.848493,2.784518,2.905963,17.302482,16.225895,18.283845,0.344444,0.244445,0.433333,0.558294,0.468293,0.624021,0.060802,0.056502,0.065154,0.073586,0.070733,0.076162,0.278509,0.187774,0.362333,0.054478,0.053787,0.055304,3.007924,2.941976,3.087705,20.324045,18.926789,21.991778,0.266667,0.1,0.4,0.461468,0.349048,0.552024,0.052699,0.047408,0.056743,0.06577,0.060101,0.070478,0.230564,0.128208,0.342112,0.043262,0.04197,0.04446,3.507302,3.456229,3.555011,33.424389,31.551797,35.261127,0.083333,0.016667,0.183333,0.246543,0.164113,0.354136,0.03118,0.029199,0.033077,0.049589,0.04857,0.050608,0.073473,0.037147,0.136786,0.028848,0.028419,0.029086,6.470886,6.402927,6.511122,0.85769,0.85769,0.85769,0.85769,1.0,1.0,1.0
