task,seed,method,epochs,train_row_count,validation_loss,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_rank
phase_cued,211,phasewrap_bias,160,32,4.984182,5.617981,275.332998,0.0,0.006355,0.003858,177.21875
phase_cued,211,phasewrap_adapter,160,32,1.672123,1.973832,7.19821,0.6875,0.767288,0.169345,2.46875
phase_cued,211,rope_relative,160,32,5.531971,5.279728,196.316564,0.0,0.052028,0.00632,76.625
phase_cued,211,alibi,160,32,4.781585,5.108415,165.407955,0.0,0.090106,0.007271,47.03125
phase_cued,211,sinusoidal,160,32,3.163186,3.883211,48.579944,0.34375,0.374393,0.021585,17.75
phase_cued,211,no_position,160,32,5.252273,5.888817,360.977839,0.0,0.090106,0.002939,47.03125
phase_cued,223,phasewrap_bias,160,32,4.9848,5.617494,275.198898,0.0,0.006328,0.00386,177.5625
phase_cued,223,phasewrap_adapter,160,32,1.666026,2.181138,8.856376,0.65625,0.737787,0.144524,3.0
phase_cued,223,rope_relative,160,32,5.94665,6.004268,405.154164,0.0,0.031008,0.004493,120.5625
phase_cued,223,alibi,160,32,4.779782,5.278705,196.11566,0.0,0.096378,0.00651,58.03125
phase_cued,223,sinusoidal,160,32,3.259293,3.80317,44.84311,0.3125,0.360005,0.023157,14.59375
phase_cued,223,no_position,160,32,5.252273,5.888817,360.977839,0.0,0.096378,0.002939,58.03125
phase_cued,227,phasewrap_bias,160,32,4.983774,5.619233,275.677726,0.0,0.006321,0.00385,177.71875
phase_cued,227,phasewrap_adapter,160,32,1.697893,2.028143,7.599964,0.65625,0.747427,0.17853,2.875
phase_cued,227,rope_relative,160,32,5.607354,5.4998,244.643033,0.0,0.035709,0.006021,85.90625
phase_cued,227,alibi,160,32,4.846491,5.148555,172.182581,0.0,0.076098,0.007784,56.9375
phase_cued,227,sinusoidal,160,32,3.296207,3.747615,42.419796,0.15625,0.221229,0.025608,14.875
phase_cued,227,no_position,160,32,5.252273,5.888817,360.977839,0.0,0.076098,0.002939,56.9375
phase_cued,229,phasewrap_bias,160,32,4.983455,5.619292,275.694105,0.0,0.006321,0.003851,178.25
phase_cued,229,phasewrap_adapter,160,32,1.966186,2.180643,8.851997,0.71875,0.764222,0.14206,3.25
phase_cued,229,rope_relative,160,32,5.375727,5.505379,246.011571,0.0,0.042779,0.004813,81.96875
phase_cued,229,alibi,160,32,5.082908,5.295628,199.462794,0.0,0.076833,0.00632,67.0625
phase_cued,229,sinusoidal,160,32,3.24301,3.814857,45.370271,0.3125,0.353907,0.022775,15.0
phase_cued,229,no_position,160,32,5.252273,5.888817,360.977839,0.0,0.076833,0.002939,67.0625
phase_cued,233,phasewrap_bias,160,32,4.9848,5.617494,275.198898,0.0,0.006326,0.00386,178.125
