task,method,seed_count,failed_run_count,test_sequence_length_min,test_sequence_length_max,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high
phase_cued,phasewrap_bias,5,0,256,512,5.618299,5.617591,5.618994,275.420525,275.225718,275.615332,0.0,0.0,0.0,0.00633,0.006322,0.006343,0.003856,0.003852,0.00386
phase_cued,phasewrap_adapter,5,0,256,512,2.110092,2.026155,2.183167,8.282476,7.689669,8.875283,0.66875,0.6375,0.69375,0.745096,0.724224,0.760775,0.164768,0.148503,0.181033
phase_cued,rope_relative,5,0,256,512,5.760238,5.412887,6.207366,353.06111,225.586153,533.86757,0.00625,0.0,0.01875,0.044751,0.035716,0.054451,0.005589,0.004922,0.006252
phase_cued,alibi,5,0,256,512,5.221903,5.150501,5.285375,185.837517,172.885009,197.435101,0.0,0.0,0.0,0.086369,0.079194,0.093544,0.00722,0.006613,0.007854
phase_cued,sinusoidal,5,0,256,512,3.798228,3.756594,3.842199,44.681496,42.814283,46.660892,0.28125,0.21875,0.325,0.331624,0.274456,0.36576,0.023813,0.022452,0.02525
phase_cued,no_position,5,0,256,512,5.888817,5.888817,5.888817,360.977839,360.977839,360.977839,0.0,0.0,0.0,0.086369,0.079341,0.093544,0.002939,0.002939,0.002939
exact_offset_passkey,phasewrap_bias,5,0,256,512,5.62132,5.619836,5.622722,276.254029,275.790726,276.641317,0.0,0.0,0.0,0.006132,0.006105,0.006165,0.003841,0.003834,0.00385
exact_offset_passkey,phasewrap_adapter,5,0,256,512,1.41835,1.401832,1.437466,4.131221,4.059395,4.214425,1.0,1.0,1.0,1.0,1.0,1.0,0.256912,0.251711,0.261043
exact_offset_passkey,rope_relative,5,0,256,512,0.097265,0.095599,0.098792,1.102154,1.100471,1.103836,1.0,1.0,1.0,1.0,1.0,1.0,0.907431,0.90606,0.908801
exact_offset_passkey,alibi,5,0,256,512,5.907809,5.848059,5.977799,368.937923,347.612217,392.399645,0.0,0.0,0.0,0.013187,0.00921,0.018683,0.002936,0.002782,0.003087
exact_offset_passkey,sinusoidal,5,0,256,512,2.446665,2.445889,2.447234,11.549774,11.540812,11.556623,0.08125,0.0375,0.125,0.26665,0.219244,0.314057,0.091823,0.09178,0.091874
exact_offset_passkey,no_position,5,0,256,512,5.888817,5.888817,5.888817,360.977839,360.977839,360.977839,0.0,0.0,0.0,0.013187,0.00937,0.018683,0.002939,0.002939,0.002939
